,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,annual_volatility,cvar,downside_risk,max_dd,skewness,kurtosis,max_time_underwater,mean_time_underwater,max_daily_return,min_daily_return,beta,cagr,above,more
Long Only,0.3690742811579599,0.6338699791815883,0.9031904092747005,0.9999999999999978,0.33508287467892234,0.0813299302557872,-0.011841225314061963,0.05707833106805767,-0.14749357189349088,-0.2665166380068498,4.679089043746902,256.0,92.96576319543509,2.70487240619246,-3.72495128147323,1.0,0.0,0.0,1.0
MACD,0.0800591541006439,0.257138637918852,0.3615282352184047,0.8717574562754244,0.10371922656526451,0.05106598780768523,-0.0076645815290844145,0.03632092121633659,-0.11470525214644729,-0.28302149097110735,3.5197239150755717,1353.0,594.0363408521304,1.39939980226698,-1.9070675176010101,0.06619193065964536,-0.03575816939857113,-0.03752543003113007,0.7888974097060185
Moskowitz,0.6794870953184309,0.593997444027475,0.8746977323585587,1.044562032069722,0.2984912882995263,0.15400336722618846,-0.020684739539847327,0.10458196371141588,-0.2776538577415823,0.07958759843675227,1.9901009597014507,1127.0,537.5593934288121,4.7412314374894,-5.2239031438208805,0.031267708241142,0.03187913866742709,0.03345468763188508,1.2267319008417312
TFT,0.7140654686410213,1.0596257870003325,1.6079245945251501,1.0778875167504955,0.8251653565809324,0.08121394382877085,-0.011108790846126298,0.053520164712933034,-0.10455058934554838,0.3058470221282508,4.581112952571301,721.0,287.6197916666667,3.72495128147323,-3.0606912807858597,0.6870954060773592,0.03511355227378954,0.036848954271332834,1.2519886555689794
