,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,annual_volatility,cvar,downside_risk,max_dd,skewness,kurtosis,max_time_underwater,mean_time_underwater,max_daily_return,min_daily_return,beta,cagr,above,more
Long Only,-0.00952031966747513,0.04927391185122333,0.07616139160764905,0.9999999999999979,-0.004114038464350208,0.12299413663060922,-0.015362728346540556,0.0795731553563853,-0.35637165957596173,0.8476068766338909,5.018020512570941,151.0,65.50276243093923,6.27318367753588,-3.21141569753746,1.0,0.0,0.0,1.0
MACD,-0.1565985085695859,-0.24262926193487058,-0.34816640837845503,0.9402774030812667,-0.09894425716936962,0.09073502728079126,-0.0135075543348056,0.0632311796054965,-0.2605901909212407,0.5894448829495825,9.015786815945152,1642.0,824.0,4.19048672938958,-3.08771771223401,0.09902381561086789,-0.024353481440972824,-0.024317776151226544,0.8515081209412256
Moskowitz,-0.43222524467848034,-0.48133636292052834,-0.665728198466581,0.9161876229037529,-0.15892958663987206,0.15530347784331686,-0.022277354359433347,0.1122878846745494,-0.5232177245029561,0.13797383691702017,3.6430836352233893,1632.0,817.0098099325567,7.8925219692537905,-4.42834273302009,0.01589572895310977,-0.0818085917246617,-0.08168864996280945,0.5732321082355831
TFT,0.8423771819247536,0.8243611937373186,1.2745185698501906,1.144990843208619,0.6585262958470461,0.12282912289377305,-0.015794048030648555,0.07944612559573795,-0.149204494255686,0.5672803683661176,4.937519107789064,227.0,89.54025423728814,6.27318367753588,-3.52662250867867,0.4195657922062742,0.09986762823876316,0.0997212096410286,1.860085793285763
