,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,annual_volatility,cvar,downside_risk,max_dd,skewness,kurtosis,max_time_underwater,mean_time_underwater,max_daily_return,min_daily_return,beta,cagr,above,more
Long Only,-0.2859865466033106,-0.45106140894391855,-0.6264015753590549,0.9999999999999997,-0.12322981576127781,0.1064652683166375,-0.014814728408390921,0.0766638779651349,-0.4242159519494024,0.06776802412959672,3.127167151958905,412.0,192.0497448979592,3.73465656829459,-4.0274207369323,1.0,0.0,0.0,1.0
MACD,0.589841286426513,0.9272076859360241,1.3602463962409341,1.3289390053229742,0.6465272085354273,0.07991565071568962,-0.011577524223618912,0.05447425244054197,-0.11363646033211351,-0.20854147197945094,4.968508914346298,696.0,333.0355819125278,2.56996599793415,-3.23413109286109,-0.220059589275568,0.13268116476951808,0.1257451170880881,2.226626513636899
Moskowitz,0.7895004928447316,0.6464364886714478,0.9408527514049523,1.171189120839997,0.4907453956737691,0.1566394542590199,-0.021117153562042322,0.10762306710312257,-0.18963956001898685,0.020587109325277374,1.5080149293993501,687.0,339.8481291269259,5.77827575563689,-4.14129293927614,0.0232048037822125,0.15335773151136323,0.14534079451863713,2.506255987659278
TFT,-0.1830283404532752,-0.2493399405064041,-0.3522533907516881,1.0347585402597224,-0.07699228705544685,0.10649512098887241,-0.014676013765033368,0.0753817786534976,-0.411831036210061,0.09819074279030723,3.1221368557910427,458.0,215.94097995545658,3.73465656829459,-4.0274207369323,0.7530482285600734,0.021702775709804722,0.020568240243492797,1.1441964512856793
