,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,annual_volatility,cvar,downside_risk,max_dd,skewness,kurtosis,max_time_underwater,mean_time_underwater,max_daily_return,min_daily_return,beta,cagr,above,more
Long Only,0.16973092083311547,0.4403530623112758,0.6449914369096829,0.9999999999999992,0.19087443898283432,0.05856440697242263,-0.007760291556161365,0.03998350129470219,-0.1276602825773992,0.19065886362518505,1.8416281529596663,3.0,,2.10622255171539,-1.6031305224938601,1.0,0.0,0.0,1.0
MACD,0.060737486045292055,0.2539751856291226,0.3597947240090651,0.9280043074170029,0.13737418484684188,0.03825160899385583,-0.005585112130006254,0.02700139509155887,-0.0656904282145484,0.026922872319007068,4.181119607267664,,,1.3772402804124,-1.3309437984875498,0.13471171770995055,-0.01497794688695342,-0.015342915789137601,0.9068217888006285
Moskowitz,1.7839760472728337,1.1786592305777297,1.7470353906683835,1.1869694529669983,0.8686485044451263,0.1407963959401973,-0.019348241673527188,0.09499004576175216,-0.1943499785473571,-0.08687584011791695,2.768497956962672,188.0,79.60507246376811,4.242885600951659,-5.19759890289694,0.004282066534581813,0.14101852307418672,0.14445473338675296,2.380014067927697
TFT,0.46676515490047854,1.3663827428871878,2.0514644167563088,1.1372349713867373,1.1461048813842414,0.04375636057518103,-0.005923146079207718,0.029144027794550238,-0.052865203792244075,-0.04446776244599829,1.3755276623515513,3.0,,1.45986278568295,-1.23871834613408,0.2151806304129014,0.03536035454592046,0.03622198330431248,1.2539338139884402
