,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,annual_volatility,cvar,downside_risk,max_dd,skewness,kurtosis,max_time_underwater,mean_time_underwater,max_daily_return,min_daily_return,beta,cagr,above,more
Long Only,0.03455483945843829,0.10266332293259102,0.14814908673314,0.9999999999999981,0.025650696297543633,0.09171307410768403,-0.012841626133645376,0.06355468772627684,-0.20390944519962487,0.2922881098648478,5.151678786493627,466.0,156.02264150943395,4.32319485247687,-2.98532169844139,1.0000000000000002,0.0,0.0,1.0
MACD,0.12097282902702222,0.2967564015011687,0.4228403843230652,1.0296219512083542,0.17674200691887404,0.06655466666290416,-0.010121394601066274,0.046709169971104574,-0.10009678091289524,0.02054614178942148,6.0401311607181745,1640.0,823.0,3.27332114048712,-2.63707296998039,0.12509917375204035,0.012396050154284133,0.012460886693647755,1.0835315695916337
Moskowitz,0.044755580582039434,0.12059175812932207,0.17361169172062418,1.0100694138871649,0.0188159877919653,0.15450586811460498,-0.021137020591362687,0.10732073452299629,-0.3585344637065908,0.28782758392648156,2.729014093285933,1354.0,588.6888068880688,6.50650626899241,-3.51248025219968,0.08008897585744844,0.0015078740277429947,0.0015157608410858447,1.0098600293909417
TFT,0.19127609885290275,0.3390555249410917,0.4728353176900811,1.0417147938351718,0.09915579716523755,0.09169406808109855,-0.013230223540193976,0.06575096915158637,-0.27474110350868375,-0.5489260767456347,5.210546100791036,1043.0,391.8051787916153,2.7999784253749,-4.32319485247687,-0.13250670223768415,0.02189722222875523,0.022011753881444385,1.1514866621053204
