,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,annual_volatility,cvar,downside_risk,max_dd,skewness,kurtosis,max_time_underwater,mean_time_underwater,max_daily_return,min_daily_return,beta,cagr,above,more
Long Only,0.032400659541532484,0.10433749621346036,0.14750027862069054,1.0000000000000016,0.02772342419783573,0.07124770423742328,-0.010018963391353199,0.050398596806766435,-0.17705987078007399,-0.05441162658609122,3.513688859714107,515.0,182.2844272844273,3.01378968241519,-3.14335313314376,1.0000000000000002,0.0,0.0,1.0
MACD,-0.020025102517919002,-0.02925176769623041,-0.04121616160010867,0.968573662030731,-0.027112694221686547,0.054833038450912266,-0.008322062051060244,0.038915882522168835,-0.11439440632471265,0.043548969791662014,9.139221286492479,,,3.0294666038593,-2.90452087923865,0.15910449683813876,-0.007971118588510073,-0.00801024646540327,0.9492195577609058
Moskowitz,-0.364916222521633,-0.3720062336011258,-0.5266328607250277,0.9307599132794309,-0.13470945619010907,0.15513123138342608,-0.021254407616822374,0.10958257527151398,-0.4999159483674612,0.42762426070230936,4.681219682262706,,,8.079287396676769,-4.42274045016409,-0.013289432729268304,-0.07189917952422265,-0.07225211145139332,0.615152432932767
TFT,0.056156436938792575,0.15334214559313136,0.2244456734363946,1.0084318845215372,0.045092526210256924,0.07124591821312513,-0.00935106317921482,0.04867548479008389,-0.18684951866723484,0.24334223717672582,3.503181338454697,,,3.14335313314376,-3.01378968241519,-0.7261454965459277,0.0034996322463496377,0.003516810911826207,1.0230102307449218
