,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,annual_volatility,cvar,downside_risk,max_dd,skewness,kurtosis,max_time_underwater,mean_time_underwater,max_daily_return,min_daily_return,beta,cagr,above,more
Long Only,-0.0629981069518667,-0.6360249148166661,-0.893745220731567,0.9999999999999973,-0.12012288602120937,0.016103043406582893,-0.002499929262499499,0.011459570997848265,-0.08589607635204989,0.49746903101852347,13.769844962585509,503.0,219.2969696969697,1.02146218294503,-0.8320504361850201,1.0,0.0,0.0,1.0
MACD,0.07810609566609661,1.0906696780086662,1.592830216990831,1.6186391282757593,0.5991416077928043,0.010595614933183312,-0.0014997605127645532,0.007255208875501499,-0.01930479790945352,-1.0808379933172922,31.1249598951471,1116.0,465.75594091201026,0.5495322749313,-0.90757046509845,-0.3335312770673311,0.02211255142295898,0.021884392246891538,1.1505911606634447
Moskowitz,3.0797600599439665,1.4067738728838945,2.1726398209810855,1.3180388001300225,1.0891134106546427,0.16221671914767738,-0.022016233184636518,0.10503454831222286,-0.22023704237948882,0.3937428399877224,8.500197294731457,624.0,239.51378254211332,7.167678909355519,-6.36466380001732,0.05202867565266224,0.2527895044580091,0.25018120096772256,4.35405743596976
TFT,0.10668475185001736,1.012683849353756,1.4829894033184907,1.4123046339040692,0.38970920265786413,0.016083257935164817,-0.002435515366754666,0.010982718770266327,-0.04179706070990774,-0.3383137569043296,13.843962571248706,517.0,221.70896946564886,0.8320504361850201,-1.02146218294503,-0.279607005711315,0.02688417700445278,0.02660678379200687,1.1810912657282833
