,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,annual_volatility,cvar,downside_risk,max_dd,skewness,kurtosis,max_time_underwater,mean_time_underwater,max_daily_return,min_daily_return,beta,cagr,above,more
Long Only,0.4187716830306307,0.4025748266541366,0.585694087201947,0.999999999999999,0.21400857408340146,0.1687681799938533,-0.023188502542183652,0.11600223101165319,-0.25786146525822456,0.13088537792955518,3.475007717583944,0.0,,7.26108858947405,-6.03424001387467,1.0,0.0,0.0,1.0
MACD,0.040508156485856706,0.1105055842524663,0.15412252269062618,0.9124211156654238,0.029070565684636916,0.11341589939000556,-0.017525788038434045,0.08131900520970235,-0.21040424714644154,-0.21570988793230744,4.412314785256826,348.0,166.98356164383563,4.2411854567333,-4.51394972213025,0.3128342833930818,-0.04650181177322554,-0.04906799400397199,0.7333866110600916
Moskowitz,-0.0956724306941148,-0.025217709265406174,-0.03513897011102867,0.9228575733482144,-0.05090245223849655,0.1523239541845321,-0.0217199413966637,0.10931627132626084,-0.30105447852654166,-0.05743222737300082,2.5012201502382148,330.0,105.52125,6.12510151659866,-5.21177857892486,-0.07209898059792451,-0.06682146240394082,-0.07050897570535197,0.6374017610600712
TFT,0.6534006247572879,0.5419931415817459,0.7875568644052042,1.0243821075329038,0.3624508670451933,0.1687241013470037,-0.023534212034514366,0.11611517832262719,-0.22148436784753658,0.06987217686400155,3.4823961002729815,2.0,,7.26108858947405,-6.03424001387467,0.6189693966573449,0.023780329543042544,0.025092636672326973,1.1653747001952193
