,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,annual_volatility,cvar,downside_risk,max_dd,skewness,kurtosis,max_time_underwater,mean_time_underwater,max_daily_return,min_daily_return,beta,cagr,above,more
Long Only,0.05818940835374442,0.15626092522165497,0.22584980417023098,1.000000000000004,0.059722976747332394,0.07228378398021772,-0.009797582526548922,0.05001169252623093,-0.14606369016384546,0.1806614829191274,1.8905397960661627,440.0,203.17282608695652,2.85438213496713,-1.8046549598228798,1.0,0.0,0.0,1.0
MACD,0.22172088318827599,0.6192865366631256,0.9114853927120431,1.073591799555319,0.42239452274351025,0.051828581807195975,-0.0072449741743524235,0.035213666817017104,-0.0739373450096139,0.08485668288141414,1.7628449965603092,1640.0,823.0,1.51428749171509,-1.51953614037914,0.03209356996111455,0.022312729253453956,0.022507371186973213,1.154538945054215
Moskowitz,0.12245882143558284,0.19223611750460862,0.2765540763858013,1.0197186935688103,0.06786549216096503,0.15356088638681062,-0.020273717077663553,0.10674204837387953,-0.26373287086995956,0.06303377643556535,1.380386694457795,1330.0,583.3097964376591,5.29887836302222,-4.62669306516691,0.08204039438980179,0.009095658024756537,0.009175002709329139,1.0607352640032792
TFT,0.24939167015366448,0.5093861721323186,0.7371735308035404,1.0608261347859094,0.20813517660265235,0.0722500783900415,-0.009783138785318661,0.049924731870454764,-0.16711994649824743,-0.0534144784697627,1.908082101538799,1616.0,811.0,2.08525470165161,-2.85438213496713,-0.04263445500388722,0.025834814858487265,0.026060181206953636,1.1806881266156113
