,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,annual_volatility,cvar,downside_risk,max_dd,skewness,kurtosis,max_time_underwater,mean_time_underwater,max_daily_return,min_daily_return,beta,cagr,above,more
Long Only,-0.14927365014621397,-0.43033113132090356,-0.6085265235813867,1.000000000000007,-0.10226854955723158,0.056210422388734436,-0.007940247248752742,0.03975027171569916,-0.24874735552832083,0.32949337131417705,3.0378874618103913,410.0,197.24518613607188,1.99230557845562,-1.44861928474422,1.0,0.0,0.0,1.0
MACD,0.3088106516114446,1.0517355436201319,1.5520818411959607,1.358280193359446,0.7787674930776408,0.041611767610918345,-0.0061154099711237305,0.028197337194242857,-0.056279844830620145,-0.15422295812023595,3.95746704050525,666.0,285.04744186046514,1.38768391143356,-1.30367066978469,-0.2790770189811513,0.07107605080356971,0.06926794492561905,1.5384625759345403
Moskowitz,0.35104068058907556,0.9243024818812366,1.3600779935092135,1.254803632297062,0.5955161959466696,0.053433101834453954,-0.007214424655861126,0.03631287975829165,-0.08249295523394021,-0.01605475605267793,1.903361993416004,667.0,274.8383928571429,1.9722602578277602,-1.65276824410493,-0.00034814863541526283,0.07651129538411294,0.07456492214939336,1.588102544162736
TFT,0.3100361838145731,0.7945953720042328,1.1536993554455761,1.2367219819710717,0.47945376524501027,0.056160729730064675,-0.007924344169656086,0.038679969544279616,-0.09173907443775238,-0.21722317203506858,3.056308780253242,410.0,196.07177615571777,1.66839259003566,-1.99230557845562,-0.14053890819678974,0.07123584684991924,0.06942367591535104,1.539903147515918
