,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,annual_volatility,cvar,downside_risk,max_dd,skewness,kurtosis,max_time_underwater,mean_time_underwater,max_daily_return,min_daily_return,beta,cagr,above,more
Long Only,-0.15252881926448436,-0.48728387327883194,-0.6827359125490686,1.0000000000000013,-0.10947181506027175,0.051421913040138344,-0.007290759068034458,0.03670096811525938,-0.2378179763273425,0.22077814195050124,2.8408243571364915,410.0,196.69308176100628,1.91785386355609,-1.5756070181929298,1.0,0.0,0.0,1.0
MACD,0.2511742500961023,0.9940711525461717,1.4455366014085382,1.3704914361073848,0.6469816115629518,0.036606555096813605,-0.0054136302427852485,0.025173710842310255,-0.056203538233264766,-0.3312624148668105,4.687617060569036,671.0,291.6868131868132,1.0020170373979,-1.35203022453381,-0.2516356357352924,0.06406491056297625,0.06239702126421254,1.4763620032603526
Moskowitz,0.4034493195074127,1.1566837119813946,1.7040862082952066,1.327372504982298,0.8064688973056353,0.0476932083107483,-0.006520618246576307,0.032372750249746514,-0.06883015886801185,-0.13665975670839028,2.4405210592334683,667.0,278.04837291116974,1.41429520031721,-1.7325329676323098,0.014448771513479562,0.08372343433854201,0.08154374784617213,1.6560437114680013
TFT,0.08355110318189718,0.404562177993614,0.5947015894948534,1.2552926226602084,0.14954472488971896,0.03295718675727636,-0.004735777803850756,0.022420036351998688,-0.08607734864128248,0.12055501391625707,8.767340670371809,419.0,206.673860911271,1.26747772048012,-1.5756070181929298,0.383685533952164,0.03994676769595129,0.03890677894431194,1.278569853244436
