,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,annual_volatility,cvar,downside_risk,max_dd,skewness,kurtosis,max_time_underwater,mean_time_underwater,max_daily_return,min_daily_return,beta,cagr,above,more
Long Only,0.5504191065833506,0.4531432110529178,0.6204406922171027,0.999999999999999,0.19385290924691495,0.1976164876130211,-0.03061869173650351,0.14433058772139493,-0.373471530671002,-0.633280594204303,18.26728344035686,8.0,7.0,11.41266151267772,-11.26239777275099,1.0000000000000002,0.0,0.0,1.0
MACD,-0.05885382822886209,0.008782113095651758,0.012224916854395852,0.8610808767973837,-0.03271267017967209,0.1452253912977628,-0.021862774895153057,0.10432674724316253,-0.2822243060920252,0.13323487859158925,43.452118171396954,1264.0,635.0,10.61286779783787,-10.97070019511097,-0.2116673185182096,-0.07611988466029329,-0.08163085338334741,0.6070269437308059
Moskowitz,-0.1197592053242511,-0.04283701511824431,-0.05688476467143435,0.8971156126418731,-0.03950096261376713,0.15893748342855143,-0.02490886694467806,0.11968771286670223,-0.4890133666252125,-0.8098403874850216,5.095838805892859,1109.0,507.65819672131147,4.13049444932817,-7.49251518924545,0.0690484296446228,-0.08552328057040004,-0.09171504145416709,0.5677437738854563
Bayes,-0.21323807984880538,-0.09667551016599019,-0.12251585760928685,0.8969414952144087,-0.07733397610016413,0.20325562366068126,-0.03314264907542434,0.16038610425572683,-0.4819923716050998,-1.7682714403674546,17.12064480920015,373.0,165.7890625,9.025373488261799,-11.41266151267772,0.7701616750383448,-0.10465072428095767,-0.11222728421573858,0.5074511251896122
TFT,0.8268126899376587,0.5848653486258579,0.8492849342484137,1.0270110858925852,0.446910144157936,0.19756290837698742,-0.02866429291699879,0.13605292478866432,-0.225569787472217,0.2573682936054747,18.176510272854795,163.0,78.63953488372093,11.26239777275099,-11.41266151267772,0.21500081688625874,0.02649284045349587,0.02841088349541132,1.1782702381444428
