,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,annual_volatility,cvar,downside_risk,max_dd,skewness,kurtosis,max_time_underwater,mean_time_underwater,max_daily_return,min_daily_return,beta,cagr,above,more
Long Only,-0.10953514620505378,-0.4695292169564908,-0.6595841765618671,1.0000000000000013,-0.10374478454970999,0.037856793120598226,-0.005674081462118995,0.02694860043952422,-0.17660167130917742,0.27056418728541176,3.854803942114703,418.0,210.01459854014598,1.40214359124943,-0.96356110470244,1.0,0.0,0.0,1.0
MACD,0.1777086251473361,1.000032689247983,1.435962163281755,1.3998728193788101,0.6550187127479283,0.025333298726723536,-0.003865912593774749,0.017642614478997905,-0.03866675899116626,-0.5716158799130425,7.428455781204775,696.0,302.4307149161518,0.8257062855115601,-1.18378191729484,-0.27540986901607883,0.04446359286233803,0.04364895304161742,1.3225773259081774
Moskowitz,1.7352506859070003,1.0539413607459391,1.5391234171907904,1.2246985127839336,0.7057445813263332,0.1578693831054933,-0.021989903101470736,0.10810378855388462,-0.23568370850534798,-0.29134365419282565,4.347976141243828,624.0,242.65703125,4.66428694179464,-7.5799309452060495,0.08635199651860624,0.18810028228793163,0.1846540025256337,3.0717109993168425
TFT,0.12136208664272963,0.5012378921894041,0.7289869967161813,1.1936024517017194,0.2376948863622923,0.03785448179336801,-0.005583339775699374,0.026028037193394818,-0.07751613964667221,0.04415575698034754,3.818054520708679,460.0,225.98864926220205,1.40214359124943,-1.23411978221414,0.22451773306028946,0.03743251220565735,0.036746692345648646,1.2592996588958623
