date,NQ=F Long Only,NQ=F Using TFT
2017-07-05,0.011137451357516648,0.011137451357516648
2017-07-06,-0.009687693532690389,-0.009687693532690389
2017-07-07,0.010541832313396116,0.010541832313396116
2017-07-10,0.006763028776024305,0.006763028776024305
2017-07-11,0.004566210045662045,0.004566210045662045
2017-07-12,0.011494755244755295,0.011494755244755295
2017-07-13,0.002030851661409594,0.002030851661409594
2017-07-14,0.007891332470892687,0.007891332470892687
2017-07-17,0.002010867239977676,0.002010867239977676
2017-07-18,0.004739538855679015,0.004739538855679015
2017-07-19,0.006034592664995175,0.006034592664995175
2017-07-20,0.0011827820724030769,0.0011827820724030769
2017-07-21,-0.0010970001265769858,-0.0010970001265769858
2017-07-24,0.002576557550158398,0.002576557550158398
2017-07-25,-4.213009774178822e-05,-4.213009774178822e-05
2017-07-26,0.0024015167474193966,0.0024015167474193966
2017-07-27,-0.006472763954270322,-0.006472763954270322
2017-07-28,0.0001269142905491183,0.0001269142905491183
2017-07-31,-0.004695232858170084,-0.004695232858170084
2017-08-01,0.00114747131321713,0.00114747131321713
2017-08-02,0.0036507195313495444,0.0036507195313495444
2017-08-03,-0.003510552806327505,-0.003510552806327505
2017-08-04,0.0013582342954159277,0.0013582342954159277
2017-08-07,0.006103763987792554,0.006103763987792554
2017-08-08,-0.0026963262554768885,-0.0026963262554768885
2017-08-09,0.0007603920243326456,0.0007603920243326456
2017-08-10,-0.022414520894892376,-0.022414520894892376
2017-08-11,0.008376872921974199,0.008376872921974199
2017-08-14,0.012289641587804656,0.012289641587804656
2017-08-15,0.00033840947546526223,0.00033840947546526223
2017-08-16,0.001945196211096123,0.001945196211096123
2017-08-17,-0.020806955347345335,-0.020806955347345335
2017-08-18,0.00017240636179471913,0.00017240636179471913
2017-08-21,-0.001249730661495363,-0.001249730661495363
2017-08-22,0.014584052468070485,0.014584052468070485
2017-08-23,-0.005188398400952643,-0.005188398400952643
2017-08-24,-0.001282489740082049,-0.001282489740082049
2017-08-25,-0.002653882373084504,-0.002653882373084504
2017-08-28,0.003390557939914274,0.003390557939914274
2017-08-29,0.004277342914581483,0.004277342914581483
2017-08-30,0.011116316708547958,0.011116316708547958
2017-08-31,0.009393428812131344,0.009393428812131344
2017-09-01,-0.0004173100196135371,-0.0004173100196135371
2017-09-05,-0.008182691103410855,-0.008182691103410855
2017-09-06,0.002651849981058163,0.002651849981058163
2017-09-07,0.0025188916876575096,0.0025188916876575096
2017-09-08,-0.009003350083752082,-0.009003350083752082
2017-09-11,0.011197971688146957,0.011197971688146957
2017-09-12,0.002340158796489744,0.002340158796489744
2017-09-13,0.0009172017009921873,0.0009172017009921873
2017-09-14,-0.0059563478840386486,-0.0059563478840386486
2017-09-15,0.001298973391996583,0.001298973391996583
2017-09-18,0.0021342484097757186,0.0021342484097757186
2017-09-19,0.0017121142523071065,0.0017121142523071065
2017-09-20,-0.0030848757712189645,-0.0030848757712189645
2017-09-21,-0.00556159571798942,-0.00556159571798942
2017-09-22,-0.0015979143013330477,-0.0015979143013330477
2017-09-25,-0.009981889398980703,-0.009981889398980703
2017-09-26,0.0027227090955501687,0.0027227090955501687
2017-09-27,0.008230801866779824,0.008230801866779824
2017-09-28,-0.00042080457835380614,-0.00042080457835380614
2017-09-29,0.007409278437315869,0.007409278437315869
2017-10-02,-0.00033430839949855073,-0.00033430839949855073
2017-10-03,0.0029261767410750927,0.0029261767410750927
2017-10-04,0.0010003334444814715,0.0010003334444814715
2017-10-05,0.010284810126582222,0.010284810126582222
2017-10-06,-0.00024729011251700683,-0.00024729011251700683
2017-10-09,4.1225213340378986e-05,4.1225213340378986e-05
2017-10-10,0.0001236705416769457,0.0001236705416769457
2017-10-11,0.002844070730802617,0.002844070730802617
2017-10-12,-0.0012741471434443152,-0.0012741471434443152
2017-10-13,0.004115395695296176,0.004115395695296176
2017-10-16,0.0033607934751425095,0.0033607934751425095
2017-10-17,0.0005718720640497388,0.0005718720640497388
2017-10-18,-0.0007348438456827866,-0.0007348438456827866
2017-10-19,-0.0035135024717081187,-0.0035135024717081187
2017-10-20,0.002172932639088243,0.002172932639088243
2017-10-23,-0.0075683194239895,-0.0075683194239895
2017-10-24,0.0024320870604723765,0.0024320870604723765
2017-10-25,-0.002467308166790083,-0.002467308166790083
2017-10-26,0.0033391046252781997,0.0033391046252781997
2017-10-27,0.021447060273634966,0.021447060273634966
2017-10-30,0.0014480511644745508,0.0014480511644745508
2017-10-31,0.004096879142065246,0.004096879142065246
2017-11-01,-0.0014400576023041456,-0.0014400576023041456
2017-11-02,-0.0008011857549172774,-0.0008011857549172774
2017-11-03,0.008780018442047899,0.008780018442047899
2017-11-06,0.003656307129798808,0.003656307129798808
2017-11-07,0.00039597687495041,0.00039597687495041
2017-11-08,0.004037365421152739,0.004037365421152739
2017-11-09,-0.004257667744224536,-0.004257667744224536
2017-11-10,-0.0008314197481985586,-0.0008314197481985586
2017-11-13,0.00043586797162897817,0.00043586797162897817
2017-11-14,-0.0029309252217997184,-0.0029309252217997184
2017-11-15,-0.0043298641455470355,-0.0043298641455470355
2017-11-16,0.011928984639936191,0.011928984639936191
2017-11-17,-0.0043762813436366566,-0.0043762813436366566
2017-11-20,0.0004355918108740475,0.0004355918108740475
2017-11-21,0.010053831538948677,0.010053831538948677
2017-11-22,0.0015675209655929834,0.0015675209655929834
2017-11-24,0.003756162454026102,0.003756162454026102
2017-11-27,-3.898027598037146e-05,-3.898027598037146e-05
2017-11-28,0.001091490274041984,0.001091490274041984
2017-11-29,-0.017873135781316885,-0.017873135781316885
