date,ZT=F Long Only,ZT=F Using TFT
2017-07-05,0.0,-0.0
2017-07-06,0.00014470732942628572,-0.00014470732942628572
2017-07-07,-7.234319612237083e-05,7.234319612237083e-05
2017-07-10,0.0003617421501953544,-0.0003617421501953544
2017-07-11,0.0003616113401316845,-0.0003616113401316845
2017-07-12,0.0005783689994216523,-0.0005783689994216523
2017-07-13,-0.00021676300578032937,0.00021676300578032937
2017-07-14,7.227000072274059e-05,-7.227000072274059e-05
2017-07-17,0.00014452955629429276,-0.00014452955629429276
2017-07-18,0.0001445086705202936,-0.0001445086705202936
2017-07-19,-7.224389539084441e-05,-7.224389539084441e-05
2017-07-20,0.0,0.0
2017-07-21,0.0002889964597934114,0.0002889964597934114
2017-07-24,-0.0002889129649693567,-0.0002889129649693567
2017-07-25,-0.0005057438046384144,-0.0005057438046384144
2017-07-26,0.0008674280757554609,0.0008674280757554609
2017-07-27,-7.222302470022424e-05,-7.222302470022424e-05
2017-07-28,0.00014445648248462284,0.00014445648248462284
2017-07-31,-7.221780891164542e-05,-7.221780891164542e-05
2017-08-01,0.00014444604940044847,0.00014444604940044847
2017-08-02,-0.00036106296938187565,-0.00036106296938187565
2017-08-03,0.00043343205952472985,0.00043343205952472985
2017-08-04,-0.0003610368979709566,-0.0003610368979709566
2017-08-07,0.00014446691707603598,0.00014446691707603598
2017-08-08,-0.00021666907410078373,-0.00021666907410078373
2017-08-09,0.0005056707361121848,0.0005056707361121848
2017-08-10,0.0,0.0
2017-08-11,0.0007942238267149015,0.0007942238267149015
2017-08-14,-0.0005050140682490989,-0.0005050140682490989
2017-08-15,-0.0005774505557961662,-0.0005774505557961662
2017-08-16,0.00043333814820156746,0.00043333814820156746
2017-08-17,0.00021657522379436855,0.00021657522379436855
2017-08-18,-7.217610970766675e-05,-7.217610970766675e-05
2017-08-21,0.0002887252778980276,0.0002887252778980276
2017-08-22,-0.00036080242459224365,-0.00036080242459224365
2017-08-23,0.00036093264996761576,0.00036093264996761576
2017-08-24,-0.0004329629095107812,-0.0004329629095107812
2017-08-25,0.0,0.0
2017-08-28,0.00021657522379436855,0.00021657522379436855
2017-08-29,0.00036088054853844476,0.00036088054853844476
2017-08-30,-0.0001443001443001135,-0.0001443001443001135
2017-08-31,7.216048491853755e-05,7.216048491853755e-05
2017-09-01,-0.00036077639079301616,-0.00036077639079301616
2017-09-05,0.0010105384726433186,0.0010105384726433186
2017-09-06,-0.00014421690222099492,-0.00014421690222099492
