date,YM=F Long Only,YM=F Using TFT
2017-07-05,-0.0006531069229334108,-0.0006531069229334108
2017-07-06,-0.0066286994678368405,-0.0066286994678368405
2017-07-07,0.004229323308270638,0.004229323308270638
2017-07-10,-0.0005147402901263254,-0.0005147402901263254
2017-07-11,0.00037454937028891244,0.00037454937028891244
2017-07-12,0.005428932465952219,0.005428932465952219
2017-07-13,0.0012102592747753604,0.0012102592747753604
2017-07-14,0.003998326282021569,0.003998326282021569
2017-07-17,-0.0006482982171799323,-0.0006482982171799323
2017-07-18,-0.0028265604003521183,-0.0028265604003521183
2017-07-19,0.0035315985130111027,0.0035315985130111027
2017-07-20,-0.0006945730690868235,-0.0006945730690868235
2017-07-21,-0.002919234511839064,-0.002919234511839064
2017-07-24,-0.0008829816897480969,-0.0008829816897480969
2017-07-25,0.0028373412716871105,0.0028373412716871105
2017-07-26,0.003988868274582558,0.003988868274582558
2017-07-27,0.004481197449875296,0.004481197449875296
2017-07-28,0.0014717380306306094,0.0014717380306306094
2017-07-31,0.003076923076922977,0.003076923076922977
2017-08-01,0.0028385678967126626,0.0028385678967126626
2017-08-02,0.002419649379108879,0.002419649379108879
2017-08-03,0.0007742405610966507,0.0007742405610966507
2017-08-04,0.001956858105033321,0.001956858105033321
2017-08-07,0.0020438751873552707,0.0020438751873552707
2017-08-08,-0.0014504578007433766,-0.0014504578007433766
2017-08-09,-0.0005447117566954596,-0.0005447117566954596
2017-08-10,-0.008265964211100041,-0.008265964211100041
2017-08-11,0.0005495511998534486,0.0005495511998534486
2017-08-14,0.004760161113145367,0.004760161113145367
2017-08-15,0.0011388483965013574,0.0011388483965013574
2017-08-16,0.0015470719388450682,0.0015470719388450682
2017-08-17,-0.012630048612057632,-0.012630048612057632
2017-08-18,-0.002484700685593366,-0.002484700685593366
2017-08-21,0.0005996586558421058,0.0005996586558421058
2017-08-22,0.008943389267932922,0.008943389267932922
2017-08-23,-0.00415790916567671,-0.00415790916567671
2017-08-24,-0.0004129387474191004,-0.0004129387474191004
2017-08-25,0.0010557238593591478,0.0010557238593591478
2017-08-28,-0.0008253473336695683,-0.0008253473336695683
2017-08-29,0.0038089119361204293,0.0038089119361204293
2017-08-30,-0.00013714912681717095,-0.00013714912681717095
2017-08-31,0.003612089067715152,0.003612089067715152
2017-09-01,0.0013667425968109104,0.0013667425968109104
2017-09-05,-0.009827115559599586,-0.009827115559599586
2017-09-06,0.0022054769343871072,0.0022054769343871072
