,Unnamed: 0.1,Unnamed: 0,Date,BRL=X,CAD=X,CL=F,CT=F,ES=F,EUR=X,GBP=X,GC=F,JPY=X,MME=F,MXN=X,NQ=F,RTY=F,SB=F,SI=F,YM=F,ZB=F,ZC=F,ZF=F,ZN=F,ZT=F,CarteiraEquity,CarteiraMoeda,CarteiraRenda_Fixa
74,74,74,1997-02-21,,,,,,,,,-0.0,,,,,,,,,,,,,,,
75,75,75,1997-02-25,,,,,,,,,-0.0,,,,,,,,,,,,,,,
76,76,76,1997-02-26,,,,,,,,,0.0,,,,,,,,,,,,,,,
77,77,77,1997-02-28,,,,,,,,,-0.0,,,,,,,,,,,,,,,
78,78,78,1997-03-03,,,,,,,,,0.0,,,,,,,,,,,,,,,
79,79,79,1997-03-04,,,,,,,,,0.0,,,,,,,,,,,,,,,
80,80,80,1997-03-05,,,,,,,,,-0.0,,,,,,,,,,,,,,,
81,81,81,1997-03-06,,,,,,,,,-0.0,,,,,,,,,,,,,,,
82,82,82,1997-03-07,,,,,,,,,0.0,,,,,,,,,,,,,,,
83,83,83,1997-03-10,,,,,,,,,-0.0,,,,,,,,,,,,,,,
84,84,84,1997-03-11,,,,,,,,,0.0,,,,,,,,,,,,,,,
85,85,85,1997-03-12,,,,,,,,,0.0,,,,,,,,,,,,,,,
86,86,86,1997-03-13,,,,,,,,,0.0,,,,,,,,,,,,,,,
87,87,87,1997-03-14,,,,,,,,,-0.0,,,,,,,,,,,,,,,
88,88,88,1997-03-17,,,,,,,,,0.0,,,,,,,,,,,,,,,
89,89,89,1997-03-19,,,,,,,,,-0.0,,,,,,,,,,,,,,,
90,90,90,1997-03-20,,,,,,,,,0.0,,,,,,,,,,,,,,,
91,91,91,1997-03-21,,,,,,,,,-0.0,,,,,,,,,,,,,,,
92,92,92,1997-03-24,,,,,,,,,0.0,,,,,,,,,,,,,,,
93,93,93,1997-03-25,,,,,,,,,0.0,,,,,,,,,,,,,,,
94,94,94,1997-03-27,,,,,,,,,-0.0,,,,,,,,,,,,,,,
95,95,95,1997-03-28,,,,,,,,,0.0,,,,,,,,,,,,,,,
96,96,96,1997-03-31,,,,,,,,,0.0,,,,,,,,,,,,,,,
97,97,97,1997-04-01,,,,,,,,,-0.0,,,,,,,,,,,,,,,
98,98,98,1997-04-02,,,,,,,,,0.0,,,,,,,,,,,,,,,
99,99,99,1997-04-03,,,,,,,,,-0.0,,,,,,,,,,,,,,,
100,100,100,1997-04-04,,,,,,,,,0.0,,,,,,,,,,,,,,,
101,101,101,1997-04-07,,,,,,,,,0.0,,,,,,,,,,,,,,,
102,102,102,1997-04-08,,,,,,,,,0.0,,,,,,,,,,,,,,,
103,103,103,1997-04-09,,,,,,,,,0.0,,,,,,,,,,,,,,,
104,104,104,1997-04-10,,,,,,,,,-0.0,,,,,,,,,,,,,,,
105,105,105,1997-04-11,,,,,,,,,0.0,,,,,,,,,,,,,,,
106,106,106,1997-04-14,,,,,,,,,0.0,,,,,,,,,,,,,,,
107,107,107,1997-04-15,,,,,,,,,-0.0,,,,,,,,,,,,,,,
108,108,108,1997-04-16,,,,,,,,,-0.0,,,,,,,,,,,,,,,
109,109,109,1997-04-17,,,,,,,,,0.0,,,,,,,,,,,,,,,
110,110,110,1997-04-18,,,,,,,,,-0.0,,,,,,,,,,,,,,,
111,111,111,1997-04-21,,,,,,,,,-0.0,,,,,,,,,,,,,,,
112,112,112,1997-04-22,,,,,,,,,0.0,,,,,,,,,,,,,,,
113,113,113,1997-04-23,,,,,,,,,-0.0,,,,,,,,,,,,,,,
114,114,114,1997-04-24,,,,,,,,,0.0,,,,,,,,,,,,,,,
115,115,115,1997-04-25,,,,,,,,,0.0,,,,,,,,,,,,,,,
116,116,116,1997-04-28,,,,,,,,,0.0,,,,,,,,,,,,,,,
117,117,117,1997-04-29,,,,,,,,,0.0,,,,,,,,,,,,,,,
118,118,118,1997-04-30,,,,,,,,,0.0,,,,,,,,,,,,,,,
119,119,119,1997-05-01,,,,,,,,,-0.0,,,,,,,,,,,,,,,
120,120,120,1997-05-02,,,,,,,,,0.0,,,,,,,,,,,,,,,
121,121,121,1997-05-05,,,,,,,,,-0.0,,,,,,,,,,,,,,,
122,122,122,1997-05-06,,,,,,,,,-0.0,,,,,,,,,,,,,,,
123,123,123,1997-05-07,,,,,,,,,-0.0,,,,,,,,,,,,,,,
124,124,124,1997-05-08,,,,,,,,,-0.0,,,,,,,,,,,,,,,
125,125,125,1997-05-09,,,,,,,,,-0.0,,,,,,,,,,,,,,,
126,126,126,1997-05-12,,,,,,,,,-0.0,,,,,,,,,,,,,,,
127,127,127,1997-05-13,,,,,,,,,-0.0,,,,,,,,,,,,,,,
128,128,128,1997-05-14,,,,,,,,,-0.0,,,,,,,,,,,,,,,
129,129,129,1997-05-15,,,,,,,,,-0.0,,,,,,,,,,,,,,,
130,130,130,1997-05-16,,,,,,,,,-0.0,,,,,,,,,,,,,,,
131,131,131,1997-05-19,,,,,,,,,-0.0,,,,,,,,,,,,,,,
132,132,132,1997-05-20,,,,,,,,,-0.0,,,,,,,,,,,,,,,
133,133,133,1997-05-21,,,,,,,,,0.0,,,,,,,,,,,,,,,
134,134,134,1997-05-22,,,,,,,,,0.0,,,,,,,,,,,,,,,
135,135,135,1997-05-23,,,,,,,,,-0.0,,,,,,,,,,,,,,,
136,136,136,1997-05-27,,,,,,,,,0.0,,,,,,,,,,,,,,,
137,137,137,1997-05-28,,,,,,,,,-0.0,,,,,,,,,,,,,,,
138,138,138,1997-05-29,,,,,,,,,0.0,,,,,,,,,,,,,,,
139,139,139,1997-05-30,,,,,,,,,-0.0,,,,,,,,,,,,,,,
140,140,140,1997-06-02,,,,,,,,,0.0,,,,,,,,,,,,,,,
141,141,141,1997-06-03,,,,,,,,,-0.0,,,,,,,,,,,,,,,
142,142,142,1997-06-04,,,,,,,,,0.0,,,,,,,,,,,,,,,
143,143,143,1997-06-05,,,,,,,,,-0.0,,,,,,,,,,,,,,,
144,144,144,1997-06-06,,,,,,,,,-0.0,,,,,,,,,,,,,,,
145,145,145,1997-06-09,,,,,,,,,-0.0,,,,,,,,,,,,,,,
146,146,146,1997-06-10,,,,,,,,,-0.0,,,,,,,,,,,,,,,
147,147,147,1997-06-11,,,,,,,,,-0.0,,,,,,,,,,,,,,,
148,148,148,1997-06-12,,,,,,,,,0.0,,,,,,,,,,,,,,,
149,149,149,1997-06-13,,,,,,,,,0.0,,,,,,,,,,,,,,,
150,150,150,1997-06-16,,,,,,,,,-0.0,,,,,,,,,,,,,,,
151,151,151,1997-06-17,,,,,,,,,-0.0,,,,,,,,,,,,,,,
152,152,152,1997-06-18,,,,,,,,,0.0,,,,,,,,,,,,,,,
153,153,153,1997-06-19,,,,,,,,,0.0,,,,,,,,,,,,,,,
154,154,154,1997-06-20,,,,,,,,,0.0,,,,,,,,,,,,,,,
155,155,155,1997-06-23,,,,,,,,,-0.0,,,,,,,,,,,,,,,
156,156,156,1997-06-24,,,,,,,,,0.0,,,,,,,,,,,,,,,
157,157,157,1997-06-25,,,,,,,,,-0.0,,,,,,,,,,,,,,,
158,158,158,1997-06-26,,,,,,,,,-0.0,,,,,,,,,,,,,,,
159,159,159,1997-06-27,,,,,,,,,0.0,,,,,,,,,,,,,,,
160,160,160,1997-06-30,,,,,,,,,0.0,,,,,,,,,,,,,,,
161,161,161,1997-07-01,,,,,,,,,0.0,,,,,,,,,,,,,,,
162,162,162,1997-07-02,,,,,,,,,-0.0,,,,,,,,,,,,,,,
163,163,163,1997-07-03,,,,,,,,,-0.0,,,,,,,,,,,,,,,
164,164,164,1997-07-04,,,,,,,,,0.0,,,,,,,,,,,,,,,
165,165,165,1997-07-07,,,,,,,,,-0.0,,,,,,,,,,,,,,,
166,166,166,1997-07-08,,,,,,,,,0.0,,,,,,,,,,,,,,,
167,167,167,1997-07-09,,,,,,,,,-0.0,,,,,,,,,,,,,,,
168,168,168,1997-07-10,,,,,,,,,0.0,,,,,,,,,,,,,,,
169,169,169,1997-07-11,,,,,,,,,0.0,,,,,,,,,,,,,,,
170,170,170,1997-07-14,,,,,,,,,-0.0,,,,,,,,,,,,,,,
171,171,171,1997-07-16,,,,,,,,,0.0,,,,,,,,,,,,,,,
172,172,172,1997-07-17,,,,,,,,,0.0,,,,,,,,,,,,,,,
173,173,173,1997-07-18,,,,,,,,,-0.0,,,,,,,,,,,,,,,
174,174,174,1997-07-21,,,,,,,,,0.0,,,,,,,,,,,,,,,
175,175,175,1997-07-22,,,,,,,,,-0.0,,,,,,,,,,,,,,,
176,176,176,1997-07-23,,,,,,,,,0.0,,,,,,,,,,,,,,,
177,177,177,1997-07-24,,,,,,,,,0.0,,,,,,,,,,,,,,,
178,178,178,1997-07-25,,,,,,,,,0.0,,,,,,,,,,,,,,,
179,179,179,1997-07-28,,,,,,,,,0.0,,,,,,,,,,,,,,,
180,180,180,1997-07-29,,,,,,,,,0.0,,,,,,,,,,,,,,,
181,181,181,1997-07-30,,,,,,,,,-0.0,,,,,,,,,,,,,,,
182,182,182,1997-07-31,,,,,,,,,0.0,,,,,,,,,,,,,,,
183,183,183,1997-08-01,,,,,,,,,-0.0,,,,,,,,,,,,,,,
184,184,184,1997-08-04,,,,,,,,,-0.0,,,,,,,,,,,,,,,
185,185,185,1997-08-05,,,,,,,,,0.0,,,,,,,,,,,,,,,
186,186,186,1997-08-06,,,,,,,,,-0.0,,,,,,,,,,,,,,,
187,187,187,1997-08-07,,,,,,,,,-0.0,,,,,,,,,,,,,,,
188,188,188,1997-08-08,,,,,,,,,-0.0,,,,,,,,,,,,,,,
189,189,189,1997-08-11,,,,,,,,,0.0,,,,,,,,,,,,,,,
190,190,190,1997-08-12,,,,,,,,,0.0,,,,,,,,,,,,,,,
191,191,191,1997-08-13,,,,,,,,,-0.0,,,,,,,,,,,,,,,
192,192,192,1997-08-14,,,,,,,,,0.0,,,,,,,,,,,,,,,
193,193,193,1997-08-15,,,,,,,,,-0.0,,,,,,,,,,,,,,,
194,194,194,1997-08-18,,,,,,,,,0.0,,,,,,,,,,,,,,,
195,195,195,1997-08-19,,,,,,,,,0.0,,,,,,,,,,,,,,,
196,196,196,1997-08-20,,,,,,,,,-0.0,,,,,,,,,,,,,,,
197,197,197,1997-08-21,,,,,,,,,-0.0,,,,,,,,,,,,,,,
198,198,198,1997-08-22,,,,,,,,,-0.0,,,,,,,,,,,,,,,
199,199,199,1997-08-25,,,,,,,,,0.0,,,,,,,,,,,,,,,
200,200,200,1997-08-26,,,,,,,,,-0.0,,,,,,,,,,,,,,,
201,201,201,1997-08-27,,,,,,,,,0.0,,,,,,,,,,,,,,,
202,202,202,1997-08-28,,,,,,,,,0.0,,,,,,,,,,,,,,,
203,203,203,1997-08-29,,,,,,,,,0.0,,,,,,,,,,,,,,,
204,204,204,1997-09-01,,,,,,,,,0.0,,,,,,,,,,,,,,,
205,205,205,1997-09-02,,,,,,,,,0.0,,,,,,,,,,,,,,,
206,206,206,1997-09-03,,,,,,,,,-0.0,,,,,,,,,,,,,,,
207,207,207,1997-09-04,,,,,,,,,0.0,,,,,,,,,,,,,,,
208,208,208,1997-09-05,,,,,,,,,0.0,,,,,,,,,,,,,,,
209,209,209,1997-09-08,,,,,,,,,-0.0,,,,,,,,,,,,,,,
210,210,210,1997-09-09,,,,,,,,,-0.0,,,,,,,,,,,,,,,
211,211,211,1997-09-10,,,,,,,,,0.0,,,,,,,,,,,,,,,
212,212,212,1997-09-11,,,,,,,,,0.0,,,,,,,,,,,,,,,
213,213,213,1997-09-12,,,,,,,,,0.0,,,,,,,,,,,,,,,
214,214,214,1997-09-15,,,,,,,,,-0.0,,,,,,,,,,,,,,,
215,215,215,1997-09-16,,,,,,,,,0.0,,,,,,,,,,,,,,,
216,216,216,1997-09-17,,,,,,,,,-0.0,,,,,,,,,,,,,,,
217,217,217,1997-09-18,,,,,,,,,0.0,,,,,,,,,,,,,,,
218,218,218,1997-09-19,,,,,,,,,0.0,,,,,,,,,,,,,,,
219,219,219,1997-09-22,,,,,,,,,-0.0,,,,,,,,,,,,,,,
220,220,220,1997-09-23,,,,,,,,,0.0,,,,,,,,,,,,,,,
221,221,221,1997-09-24,,,,,,,,,-0.0,,,,,,,,,,,,,,,
222,222,222,1997-09-25,,,,,,,,,0.0,,,,,,,,,,,,,,,
223,223,223,1997-09-26,,,,,,,,,0.0,,,,,,,,,,,,,,,
224,224,224,1997-09-29,,,,,,,,,-0.0,,,,,,,,,,,,,,,
225,225,225,1997-09-30,,,,,,,,,-0.0,,,,,,,,,,,,,,,
226,226,226,1997-10-01,,,,,,,,,0.0,,,,,,,,,,,,,,,
227,227,227,1997-10-02,,,,,,,,,0.0,,,,,,,,,,,,,,,
228,228,228,1997-10-03,,,,,,,,,0.0,,,,,,,,,,,,,,,
229,229,229,1997-10-06,,,,,,,,,-0.0,,,,,,,,,,,,,,,
230,230,230,1997-10-07,,,,,,,,,0.0,,,,,,,,,,,,,,,
231,231,231,1997-10-08,,,,,,,,,-0.0,,,,,,,,,,,,,,,
232,232,232,1997-10-09,,,,,,,,,-0.0,,,,,,,,,,,,,,,
233,233,233,1997-10-10,,,,,,,,,-0.0,,,,,,,,,,,,,,,
234,234,234,1997-10-13,,,,,,,,,0.0,,,,,,,,,,,,,,,
235,235,235,1997-10-14,,,,,,,,,0.0,,,,,,,,,,,,,,,
236,236,236,1997-10-15,,,,,,,,,-0.0,,,,,,,,,,,,,,,
237,237,237,1997-10-16,,,,,,,,,-0.0,,,,,,,,,,,,,,,
238,238,238,1997-10-17,,,,,,,,,0.0,,,,,,,,,,,,,,,
239,239,239,1997-10-20,,,,,,,,,0.0,,,,,,,,,,,,,,,
240,240,240,1997-10-21,,,,,,,,,-0.0,,,,,,,,,,,,,,,
241,241,241,1997-10-22,,,,,,,,,-0.0,,,,,,,,,,,,,,,
242,242,242,1997-10-23,,,,,,,,,0.0,,,,,,,,,,,,,,,
243,243,243,1997-10-24,,,,,,,,,0.0,,,,,,,,,,,,,,,
244,244,244,1997-10-27,,,,,,,,,-0.0,,,,,,,,,,,,,,,
245,245,245,1997-10-28,,,,,,,,,-0.0,,,,,,,,,,,,,,,
246,246,246,1997-10-29,,,,,,,,,0.0,,,,,,,,,,,,,,,
247,247,247,1997-10-30,,,,,,,,,-0.0,,,,,,,,,,,,,,,
248,248,248,1997-10-31,,,,,,,,,0.0,,,,,,,,,,,,,,,
249,249,249,1997-11-03,,,,,,,,,0.0,,,,,,,,,,,,,,,
250,250,250,1997-11-04,,,,,,,,,0.0,,,,,,,,,,,,,,,
251,251,251,1997-11-05,,,,,,,,,0.0,,,,,,,,,,,,,,,
252,252,252,1997-11-06,,,,,,,,,0.0,,,,,,,,,,,,,,,
253,253,253,1997-11-07,,,,,,,,,0.0,,,,,,,,,,,,,,,
254,254,254,1997-11-10,,,,,,,,,-0.0,,,,,,,,,,,,,,,
255,255,255,1997-11-11,,,,,,,,,0.0,,,,,,,,,,,,,,,
256,256,256,1997-11-12,,,,,,,,,0.0,,,,,,,,,,,,,,,
257,257,257,1997-11-13,,,,,,,,,-0.0,,,,,,,,,,,,,,,
258,258,258,1997-11-14,,,,,,,,,-0.0,,,,,,,,,,,,,,,
259,259,259,1997-11-17,,,,,,,,,0.0,,,,,,,,,,,,,,,
260,260,260,1997-11-18,,,,,,,,,0.0,,,,,,,,,,,,,,,
261,261,261,1997-11-19,,,,,,,,,0.0,,,,,,,,,,,,,,,
262,262,262,1997-11-20,,,,,,,,,-0.0,,,,,,,,,,,,,,,
263,263,263,1997-11-21,,,,,,,,,0.0,,,,,,,,,,,,,,,
264,264,264,1997-11-24,,,,,,,,,0.0,,,,,,,,,,,,,,,
265,265,265,1997-11-25,,,,,,,,,0.0,,,,,,,,,,,,,,,
266,266,266,1997-11-26,,,,,,,,,-0.0,,,,,,,,,,,,,,,
267,267,267,1997-11-27,,,,,,,,,-0.0,,,,,,,,,,,,,,,
268,268,268,1997-11-28,,,,,,,,,0.0,,,,,,,,,,,,,,,
269,269,269,1997-12-01,,,,,,,,,0.0,,,,,,,,,,,,,,,
270,270,270,1997-12-02,,,,,,,,,-0.0,,,,,,,,,,,,,,,
271,271,271,1997-12-03,,,,,,,,,0.0,,,,,,,,,,,,,,,
272,272,272,1997-12-04,,,,,,,,,0.0,,,,,,,,,,,,,,,
273,273,273,1997-12-05,,,,,,,,,0.0,,,,,,,,,,,,,,,
274,274,274,1997-12-08,,,,,,,,,0.0,,,,,,,,,,,,,,,
275,275,275,1997-12-09,,,,,,,,,-0.0,,,,,,,,,,,,,,,
276,276,276,1997-12-10,,,,,,,,,-0.0,,,,,,,,,,,,,,,
277,277,277,1997-12-11,,,,,,,,,0.0,,,,,,,,,,,,,,,
278,278,278,1997-12-12,,,,,,,,,0.0,,,,,,,,,,,,,,,
279,279,279,1997-12-15,,,,,,,,,0.0,,,,,,,,,,,,,,,
280,280,280,1997-12-16,,,,,,,,,-0.0,,,,,,,,,,,,,,,
281,281,281,1997-12-17,,,,,,,,,-0.0,,,,,,,,,,,,,,,
282,282,282,1997-12-18,,,,,,,,,0.0,,,,,,,,,,,,,,,
283,283,283,1997-12-19,,,,,,,,,0.0,,,,,,,,,,,,,,,
284,284,284,1997-12-22,,,,,,,,,0.0,,,,,,,,,,,,,,,
285,285,285,1997-12-23,,,,,,,,,-0.0,,,,,,,,,,,,,,,
286,286,286,1997-12-24,,,,,,,,,-0.0,,,,,,,,,,,,,,,
287,287,287,1997-12-25,,,,,,,,,0.0,,,,,,,,,,,,,,,
288,288,288,1997-12-26,,,,,,,,,0.0,,,,,,,,,,,,,,,
289,289,289,1997-12-29,,,,,,,,,-0.0,,,,,,,,,,,,,,,
290,290,290,1997-12-30,,,,,,,,,0.0,,,,,,,,,,,,,,,
291,291,291,1997-12-31,,,,,,,,,0.0,,,,,,,,,,,,,,,
292,292,292,1998-01-01,,,,,,,,,-0.0,,,,,,,,,,,,,,,
293,293,293,1998-01-02,,,,,,,,,0.0,,,,,,,,,,,,,,,
294,294,294,1998-01-05,,,,,,,,,0.0,,,,,,,,,,,,,,,
295,295,295,1998-01-06,,,,,,,,,0.0,,,,,,,,,,,,,,,
296,296,296,1998-01-07,,,,,,,,,-0.0,,,,,,,,,,,,,,,
297,297,297,1998-01-08,,,,,,,,,0.0,,,,,,,,,,,,,,,
298,298,298,1998-01-09,,,,,,,,,-0.0,,,,,,,,,,,,,,,
299,299,299,1998-01-12,,,,,,,,,0.0,,,,,,,,,,,,,,,
300,300,300,1998-01-13,,,,,,,,,-0.0,,,,,,,,,,,,,,,
301,301,301,1998-01-14,,,,,,,,,-0.0,,,,,,,,,,,,,,,
302,302,302,1998-01-15,,,,,,,,,-0.0,,,,,,,,,,,,,,,
303,303,303,1998-01-16,,,,,,,,,-0.0,,,,,,,,,,,,,,,
304,304,304,1998-01-19,,,,,,,,,-0.0,,,,,,,,,,,,,,,
305,305,305,1998-01-20,,,,,,,,,-0.0,,,,,,,,,,,,,,,
306,306,306,1998-01-21,,,,,,,,,-0.0,,,,,,,,,,,,,,,
307,307,307,1998-01-22,,,,,,,,,0.0,,,,,,,,,,,,,,,
308,308,308,1998-01-23,,,,,,,,,-0.0,,,,,,,,,,,,,,,
309,309,309,1998-01-26,,,,,,,,,0.0,,,,,,,,,,,,,,,
310,310,310,1998-01-27,,,,,,,,,-0.0,,,,,,,,,,,,,,,
311,311,311,1998-01-28,,,,,,,,,-0.0,,,,,,,,,,,,,,,
312,312,312,1998-01-29,,,,,,,,,0.0,,,,,,,,,,,,,,,
313,313,313,1998-01-30,,,,,,,,,0.008110623166394,,,,,,,,,,,,,,,
314,314,314,1998-02-02,,,,,,,,,-0.0047023911740836,,,,,,,,,,,,,,,
315,315,315,1998-02-03,,,,,,,,,-0.0044744408772164,,,,,,,,,,,,,,,
316,316,316,1998-02-04,,,,,,,,,-0.0133861711260501,,,,,,,,,,,,,,,
317,317,317,1998-02-05,,,,,,,,,-0.0008927929072918,,,,,,,,,,,,,,,
318,318,318,1998-02-06,,,,,,,,,0.0027703140568032,,,,,,,,,,,,,,,
319,319,319,1998-02-09,,,,,,,,,0.0011788557659887,,,,,,,,,,,,,,,
320,320,320,1998-02-10,,,,,,,,,-0.0041244993812271,,,,,,,,,,,,,,,
321,321,321,1998-02-11,,,,,,,,,0.0011936212394389,,,,,,,,,,,,,,,
322,322,322,1998-02-12,,,,,,,,,0.0025965485061123,,,,,,,,,,,,,,,
323,323,323,1998-02-13,,,,,,,,,0.0017268269490074,,,,,,,,,,,,,,,
324,324,324,1998-02-16,,,,,,,,,0.0026923038414096,,,,,,,,,,,,,,,
325,325,325,1998-02-17,,,,,,,,,0.0015479345986897,,,,,,,,,,,,,,,
326,326,326,1998-02-18,,,,,,,,,-0.0006484203133715,,,,,,,,,,,,,,,
327,327,327,1998-02-19,,,,,,,,,-0.0009863498145822,,,,,,,,,,,,,,,
328,328,328,1998-02-20,,,,,,,,,0.0070549138904725,,,,,,,,,,,,,,,
329,329,329,1998-02-23,,,,,,,,,0.0002077879816973,,,,,,,,,,,,,,,
330,330,330,1998-02-24,,,,,,,,,-0.0003141133056124,,,,,,,,,,,,,,,
331,331,331,1998-02-25,,,,,,,,,0.0018869256895475,,,,,,,,,,,,,,,
332,332,332,1998-02-26,,,,,,,,,-0.0041450052498766,,,,,,,,,,,,,,,
333,333,333,1998-02-27,,,,,,,,,-0.0066936587524014,,,,,,,,,,,,,,,
