,Date,BRL=X,CAD=X,CL=F,CT=F,ES=F,EUR=X,GBP=X,GC=F,JPY=X,MXN=X,NQ=F,SB=F,SI=F,YM=F,ZB=F,ZC=F,ZF=F,ZN=F,ZT=F,CarteiraRenda_Fixa,CarteiraMoeda,CarteiraEquity
98,2000-05-18,,,,,,,,,,,,,,,,,,,,,,
99,2000-05-19,,,,,,,,,,,,,,,,,,,,,,
100,2000-05-22,,,,,,,,,,,,,,,,,,,,,,
101,2000-05-23,,,,,,,,,,,,,,,,,,,,,,
102,2000-05-24,,,,,,,,,,,,,,,,,,,,,,
103,2000-05-25,,,,,,,,,,,,,,,,,,,,,,
104,2000-05-26,,,,,,,,,,,,,,,,,,,,,,
105,2000-05-29,,,,,,,,,,,,,,,,,,,,,,
106,2000-05-30,,,,,,,,,,,,,,,,,,,,,,
107,2000-05-31,,,,,,,,,,,,,,,,,,,,,,
108,2000-06-01,,,,,,,,,,,,,,,,,,,,,,
109,2000-06-02,,,,,,,,,,,,,,,,,,,,,,
110,2000-06-05,,,,,,,,,,,,,,,,,,,,,,
111,2000-06-06,,,,,,,,,,,,,,,,,,,,,,
112,2000-06-07,,,,,,,,,,,,,,,,,,,,,,
113,2000-06-08,,,,,,,,,,,,,,,,,,,,,,
114,2000-06-09,,,,,,,,,,,,,,,,,,,,,,
115,2000-06-12,,,,,,,,,,,,,,,,,,,,,,
116,2000-06-13,,,,,,,,,,,,,,,,,,,,,,
117,2000-06-14,,,,,,,,,,,,,,,,,,,,,,
118,2000-06-15,,,,,,,,,,,,,,,,,,,,,,
119,2000-06-16,,,,,,,,,,,,,,,,,,,,,,
120,2000-06-19,,,,,,,,,,,,,,,,,,,,,,
121,2000-06-20,,,,,,,,,,,,,,,,,,,,,,
122,2000-06-21,,,,,,,,,,,,,,,,,,,,,,
123,2000-06-22,,,,,,,,,,,,,,,,,,,,,,
124,2000-06-23,,,,,,,,,,,,,,,,,,,,,,
125,2000-06-26,,,,,,,,,,,,,,,,,,,,,,
126,2000-06-27,,,,,,,,,,,,,,,,,,,,,,
127,2000-06-28,,,,,,,,,,,,,,,,,,,,,,
128,2000-06-29,,,,,,,,,,,,,,,,,,,,,,
129,2000-06-30,,,,,,,,,,,,,,,,,,,,,,
130,2000-07-03,,,,,,,,,,,,,,,,,,,,,,
131,2000-07-04,,,,,,,,,,,,,,,,,,,,,,
132,2000-07-05,,,,,,,,,,,,,,,,,,,,,,
133,2000-07-06,,,,,,,,,,,,,,,,,,,,,,
134,2000-07-07,,,,,,,,,,,,,,,,,,,,,,
135,2000-07-10,,,,,,,,,,,,,,,,,,,,,,
136,2000-07-11,,,,,,,,,,,,,,,,,,,,,,
137,2000-07-12,,,,,,,,,,,,,,,,,,,,,,
138,2000-07-13,,,,,,,,,,,,,,,,,,,,,,
139,2000-07-14,,,,,,,,,,,,,,,,,,,,,,
140,2000-07-17,,,,,,,,,,,,,,,,,,,,,,
141,2000-07-18,,,,,,,,,,,,,,,,,,,,,,
142,2000-07-19,,,,,,,,,,,,,,,,,,,,,,
143,2000-07-20,,,,,,,,,,,,,,,,,,,,,,
144,2000-07-21,,,,,,,,,,,,,,,,,,,,,,
145,2000-07-24,,,,,,,,,,,,,,,,,,,,,,
146,2000-07-25,,,,,,,,,,,,,,,,,,,,,,
