,Date,BRL=X,CAD=X,CL=F,CT=F,ES=F,EUR=X,GBP=X,GC=F,JPY=X,MXN=X,NQ=F,SB=F,SI=F,YM=F,ZB=F,ZC=F,ZF=F,ZN=F,ZT=F,CarteiraRenda_Fixa,CarteiraMoeda,CarteiraEquity
2003,2007-09-06,-0.0045107535984902,-0.0046229568236404,0.0032995797498292,-0.0024446225410333,-0.0109691771208787,0.0136733529527169,0.0040308242385319,0.0073064012226862,0.0243301604423766,0.0123760327395852,-0.0127281610931631,-0.0026368938111603,0.0094455250759796,-0.0150647060895961,0.0080536196278835,0.0120983327807599,0.0084065513545451,0.0093633457224511,0.0073523933174172,0.008293977505574224,0.007546109991846666,-0.012920681434545967
2004,2007-09-07,0.0132004445650028,0.0193006338497352,0.0065873814303121,0.0062339627142564,-0.0025201144805685,0.011029702989942,0.0053491132841157,0.003522795740747,-0.0099933513873145,-0.0121733516885432,-0.0008621353795362,0.0079963441294057,-0.0024511921069239,-0.0005638777469027,0.0038978839439168,-0.0021855670442793,0.0016456286987014,0.001886106832057,0.0016444956973483,0.002268528793005875,0.004452198602156333,-0.0013153758690024667
2005,2007-09-10,-0.0,-0.0,0.0061804439173383,0.0057464139542475,0.0099875841168594,-0.0,-0.0,0.0126984845004766,-0.0,-0.0,0.0098467619010025,-0.0006787360792976,0.0056274239124217,0.0116891964772313,-0.0011073764240594,-0.0078078309592162,-0.0031707781362618,-0.00305683219567,-0.0038942290494537,-0.002807303951361225,-0.0,0.0105078474983644
2006,2007-09-11,0.0081058648886863,0.0093202142754561,0.0140790558167051,0.0091078408970586,0.0019671573134147,0.0116380133208148,-0.004326181858087,-0.0004204770540804,0.0016084393930173,0.0043847125152493,0.0010583750826588,0.0006892261084014,-0.0017512224654447,0.0006310309569413,-0.0028019059883404,0.0231909310106336,-0.0016574754799541,-0.0022790577761472,-0.000364290377782,-0.001775682405555925,0.005121843755856133,0.0012188544510049334
2007,2007-09-12,0.0034147774041811,0.0023920632991044,0.0014613132601311,0.0014197304092967,0.0049846021859798,-0.0070350667333319,-0.0147164057118448,-0.0034179076716429,-0.0054971294068705,0.0062103620637712,0.0017584711207556,0.0014030491979321,-0.0047180643863271,0.0075512533372604,-0.0042949443779602,-0.0120817256504451,-0.0045151862604716,-0.0045747275256205,-0.0040679565201404,-0.004363203671048175,-0.0025385665141650833,0.0047647755479986
2008,2007-09-13,0.0022530888608926,0.0097405550786426,-0.0081533495380117,0.0064314548254815,0.0,0.0019157304989768,-0.0130916227357668,0.0001444545478443,-0.0078665737982295,-0.0010729581303927,0.0001981676244986,-0.0057180549530959,0.0013021640313071,0.0012798066590134,-0.0009183121605562,0.0078436827345246,0.0011452312827939,0.0008695229457068,0.0003633720789077,0.0003649535367130501,-0.0013536300376461663,0.000492658094504
2009,2007-09-14,-0.007724365973726,0.0019665492266581,0.0122197655564659,0.0071979526576767,-0.0046619384608117,-0.0022853063153938,-0.0151158732783658,0.0091024756390373,0.0026893533946449,0.004726626678046,-0.0075540900541434,0.0007153997697123,0.0085833650760179,-0.0033925953145169,0.0001864322305856,0.0212189009677682,-0.0008302359992363,-0.0005046053913166,-0.0005541239379571,-0.00042563327448110004,-0.0026238360446894336,-0.005202874609824
2010,2007-09-17,0.0045654923942883,0.0230199435410163,0.0076497307477806,0.0055518719765795,0.0255092256459075,0.0201963419011861,0.0223699675659564,0.0,-0.0104769277845383,-0.0277658719492152,0.021753222779983,-0.000728180935679,0.0012177465685134,0.0243930443972827,-0.0013263640848169,0.0,0.0025272076913254,0.0008968225144602,0.0039378972323481,0.0015088908383292,0.005318157611448934,0.023885164274391066
2011,2007-09-18,0.0131155228636699,-0.0005083250063332,0.0034166305907945,-0.0088403912937018,0.0045982625810013,-0.0018362566505293,-0.0138054469761848,0.009231887216218,-0.0011731674776979,0.0012433521861416,0.0018685907222187,-0.025141454737164,0.0083385616924107,0.0040921032936191,-0.0061427279988595,0.0073901049571331,-0.0015272731704417,-0.0036429821372122,-0.0003731925721879,-0.002921543969675325,-0.0004940535101556166,0.0035196521989463666
2012,2007-09-19,0.0058213699745777,0.0218043208262382,0.0114365263610793,0.0084636926982956,-0.0047681978780918,0.0185765107840853,0.0105525239454575,0.0154638884252221,0.016319617701395,-0.0006398552584614,-0.0022740596314551,-0.0097659889674063,0.0159493560955592,-0.0026004469171219,0.0090138049603379,0.0134342312708718,-0.0063485577996253,-0.0090382106795722,-0.0045475554041736,-0.0027301297307583006,0.012072414662215383,-0.0032142348088895997
2013,2007-09-20,-0.0018198964620543,0.0003107412960249,-0.0137813539426716,0.012358880012409,0.0073428315005599,0.0021367699753933,0.0102091918711498,-0.0014446458334203,-0.0098465949543813,0.0073137912293329,0.0033984190922959,0.0032084043271907,0.0063412815255231,0.0094284252869798,-0.0026750084130093,0.0084910903460581,0.0013056088763186,0.0018623714741988,0.0012958822913953,0.00044721355722585,0.0013840004925775504,0.006723225293278533
2014,2007-09-21,-0.00320400953256,-0.0029988692837439,-0.0053687363673868,-0.0022578812235141,-0.000877694174972,-0.002998394434787,0.0002971911842024,0.0010262597073249,0.0071801452654552,-0.0005192536877394,0.0141171587329822,-0.0058846256394722,0.0009534809925698,-0.0026271630715843,-0.0006684955261583,-0.0034707953015066,0.0,0.0003523327484074,0.0001878650305169,-3.2074436808500034e-05,-0.0003738650815287832,0.0035374338288086337
2015,2007-09-24,0.0009747530876524,-0.0025478450523331,-0.0115428607815513,-0.0015319687301825,-0.0015063679088263,0.0130508162222122,-0.001899578064603,-0.0007443492064185,0.0023490820041214,0.0077424882092264,0.0067060362825968,0.0032773065113884,-0.000631173526792,0.0004110394739329,0.0003392412216555,-0.0020653731584242,0.0018499873548534,0.0008354931657644,0.0024829146252236,0.001376909091874225,0.003278286067712717,0.0018702359492344667
2016,2007-09-25,0.0056832171443962,-0.0001609494505604,0.0062682838604942,0.000487144427936,0.0040411316032723,-0.0031631568658562,-0.0035494507290205,-0.0049881958135641,-0.0093279264318821,-0.0014223143560648,0.0045471593582708,0.0073451772756162,-0.0028250428165187,0.0062660575645223,0.0005175817165217,0.0039095969403229,0.0001700011850537,0.0,0.000577848588604,0.00031635787254485003,-0.001990096781497967,0.0049514495086884665
2017,2007-09-26,0.0059772517206494,0.0039222933826416,0.0210612472874193,0.0053444156214495,0.0046446099855518,0.0031935911201149,0.0121569197157312,0.0067226918457433,-0.0013032245690368,-0.0012995810538844,0.00468551493902,-0.0067844973947517,0.0044034935040004,0.0032890246855698,-0.0035097589548316,0.0142301481038389,0.0015554525778246,0.0025865835926847,0.0009790288631283,0.00040282651970149994,0.003774541719369317,0.004206383203380533
2018,2007-09-27,0.0011718449361586,0.0099889630225308,-0.0091872299080429,-0.016119523837278,-0.0036914315278578,0.0191305786734874,0.0206744000991432,0.0155401410776616,0.0097419876663963,-0.0019799992621445,-0.0029918542994264,0.0176225252853183,0.0121645492181712,-0.0007794576848636,0.0,-0.0159384577780826,0.0021005150324236,-0.0007418512033545,0.0011936426267584,0.000638076613956875,0.0097879625225953,-0.002487581170715933
2019,2007-09-28,0.0085905890408647,0.0065705804428862,-0.0107781060685261,0.0,0.0106833842897614,-0.004736898058819,-0.0019009176483151,0.0065838362311538,-0.0128526537730266,0.008855115120487,0.0083354439174267,-0.024694947163875,-0.0027835360072258,0.0117439971917889,0.0021217306999459,-0.0049120972628961,-0.0040656423261961,0.0005025055239535,-0.0018183075471966,-0.000814928412373325,0.0007543025206795334,0.010254275132992334
2020,2007-10-01,-0.0014557536987447,-0.0114892429071406,-0.0014500233400132,-0.0174714419401106,-0.0011402363359379,-0.0139692650317797,-0.0044555433299572,-0.0262501545566939,0.0010629271320842,-0.0049859041831969,9.792244242840614e-05,-0.0053098212192396,-0.0175231971271417,-0.0036196408548355,0.0016018865945588,-0.0236106058414083,0.0019200971094331,0.0021699836332686,0.0020367269566922,0.001932173573488175,-0.005882130336455817,-0.0015539849161149979
2021,2007-10-02,-0.0,-0.0,-0.0008543774070032,0.0012790814967664,-0.0021744050407221,-0.008419662725731,-0.0076949584930727,-0.0006834352235108,-0.0102140717295204,5.660768053755738e-05,-0.0058700794756649,0.0106608723738286,0.0009426802103519,-0.0038913695329851,-0.0008996125885378,-0.0048706607458725,-0.0014111224429631,-0.0011579167171726,-0.0012365313543585,-0.001176295775758,-0.004378680877964424,-0.0039786180164573665
2022,2007-10-03,-0.0030490723536119,0.0028832432606605,0.0118523549102759,0.0005988916104333,0.0008846791962757,0.0056400834785726,0.0062664711728356,0.011807803004745,0.0017821688002389,-0.007245919737543,0.0009066010308641,0.0029916135813055,0.0017398713275409,-0.0008048479134903,0.0014624344604754,-0.0026416553740057,0.0010720014510417,0.0013053092934496,0.0004171243165001,0.0010642173803667,0.0010461624368587833,0.0003288107712164999
2023,2007-10-04,0.0101440965222594,0.0262557684517104,-0.0016997260932414,-0.0027375134660007,0.0110836422189042,-0.0003257138488307,0.0053444734158445,0.0047975507426657,-0.0056823169139463,-0.004782535420657,0.0195405881216298,-0.0,-0.000440906743907,0.0085555140503015,-0.0077687933551094,0.0,-0.0063459656537048,-0.0072756675454863,-0.004240690201355,-0.006407779188913875,0.005158962034396717,0.013059914796945167
2024,2007-10-05,-0.0038358103814864,-0.0077684317214476,-0.0172947054905926,-0.0074422257671178,-0.0047285912628401,-0.0139938114927994,-0.0088510058954393,-0.0117751617124245,-0.0053538285510702,-0.0004345044019343,0.003654429295188,0.0024810341537656,-0.0057854687701709,-0.0032688044452859,0.0,-0.0030505639311692,-0.0015563233170986,-0.0007450575973739,-0.0024992217941339,-0.0012001506771515999,-0.006706232074029533,-0.0014476554709793334
2025,2007-10-08,0.0077260438854576,0.0064170960900584,0.0095752488955586,-0.0002104002687796,0.0080983988839127,0.0093434938540005,0.0024343816927387,0.0063272207057012,0.0015940395417314,-0.0031732802629111,0.0054499053119498,-0.01011597739275,0.0102753102968431,0.0094322637458625,0.0,0.0034314037540697,0.0,0.0,0.0,0.0,0.004056962466845917,0.007660189313908334
2026,2007-10-09,-0.0004718105056988,0.0017964750749848,0.0079277934603329,0.0506111712716419,-0.0017983977626347,0.0055179430022817,0.0044578973006295,0.0041532777730604,0.0005239116629857,-0.0012054502656959,0.0008832402072844,0.0105667641322229,0.0039058216590725,-0.0071382823485711,0.0,0.0059638501118796,0.0001782269391229,0.0002567327684257,-0.0010634353034062,-0.00015711889896440003,0.0017698277115811665,-0.0026844799679738
2027,2007-10-10,0.0060684781471128,0.0091423608229843,0.0135046241845745,-0.0034602756738885,-0.0048759989763895,0.0099349173216051,-0.0083730073551824,0.0152673165883367,-0.0028165482530921,-0.0028889757249351,-0.011857434576319,-0.0043985202009266,0.0145363533080094,-0.004246981127005,-0.0009071172512438,-0.0043777551108155,0.0001811885220899,-0.0003914179302841,-0.0004314895311847,-0.000387209047655675,0.0018445374930821,-0.0069934715599045
2028,2007-10-11,-0.006675143008156,0.0042163084532984,0.004483435602563,0.0010296893766759,0.0057204247677436,-0.0019503878743753,9.127109570670318e-05,-0.0035351266168721,-0.0028289352342593,-0.0029470577930051,0.0128731731024222,0.0006324099020559,-0.003483055370675,0.0071586218276993,-0.0014758800676504,0.0092789790222005,-0.0022103948678959,-0.0015922335227471,-0.0037275056886468,-0.0022515035367350503,-0.001682324060131766,0.008584073232621699
2029,2007-10-12,-0.0031372070247973,-0.0032655952916753,0.0180770846201771,-0.0041041918047268,-0.008873864629485,0.0023111086797107,0.0090497886001214,0.0115773056983417,0.0035193492743604,-0.0021626039188691,-0.0071807172963333,-0.0096530370473468,-0.0020387381550296,-0.0087278531733471,-0.0003747285345141,0.0137996083004695,0.0013024121511624,0.0013457658004062,0.0013065616922655,0.0008950027773300001,0.0010524733864751333,-0.0082608116997218
2030,2007-10-15,-0.0078083611083403,-0.0064068345468983,0.010338250959486,0.0009899323084048,-0.0079927058541442,-0.0045677240611014,-0.0114981434741459,-0.0001363517747196,0.0050339795082017,0.0052504101697482,-0.0017621724605469,-0.0126898502673859,-0.0087979217961433,-0.0073039066165222,0.000190336585009,-0.0017952624472277,0.0026378972311587,0.0014981497578037,0.0039730195596539,0.002074850783406325,-0.003332778918756,-0.005686261643737767
2031,2007-10-16,0.0080818802757795,0.008116162364011,-0.0014491233378324,0.000849966449069,0.0031658431961748,0.0068324187754519,0.0086507124859214,0.0006925474287197,0.0060501215192238,-0.0067819512787768,0.0081588094690562,0.0012323959359754,0.0042936840998522,-0.000392625602985,-0.0079370370166555,-0.003051391695992,0.0068041143606417,0.0067494121945585,0.0074334063332727,0.0032624739679543496,0.0051582240236018,0.003644009020748667
2032,2007-10-17,0.0022040863773525,0.0005263173326184,0.0145147307734924,0.0124706529606793,-0.0036858435612454,0.0133411563285096,0.0046839280870301,0.0092834586282529,0.0140377296127787,-0.0060462086562349,0.0036809204113804,0.0025086460076691,0.0025316327197482,-0.0021560448359096,-0.0026467547360128,0.0115303354206669,0.0024941241256616,0.002722211820761,0.0024541084426848,0.0012559224132736497,0.0047911681803424,-0.0007203226619248666
2033,2007-10-18,0.005614486557488,0.0192512721249283,-0.0059026454499724,0.0018989137882501,-0.0267223805242788,0.0003474567056776,0.0081968337993491,-0.0001405431396358,0.0121532522001356,0.0034051064167194,-0.0226535893306766,-0.007664613923784,-0.0073622960514473,-0.0308657995507935,-0.0060128672469262,0.003625974962535,0.0052004035168657,0.0055936557392021,0.0047454195625617,0.002381652892925825,0.008161401300716334,-0.026747256468582965
2034,2007-10-19,-0.0148754727291376,-0.0258354452109713,-0.0071430466206733,-0.004077479125505,0.0046631282200598,-0.0203840750092902,-0.0214601708012113,-0.0117047408648433,0.0015935972183549,-0.0061128670612765,0.0083369963324021,0.0025459497250481,-0.0036892812958761,0.0036256023420542,0.0010137342699362,-0.0069996958097649,-0.0008742198302774,-0.0002514997605469,-0.0004066470916504,-0.00012965810313462502,-0.014512405598922,0.0055419089648387
2035,2007-10-22,0.0125734757856749,0.0170838419954074,-0.0159037043724134,0.0030587034749957,0.0072719254510683,0.0126086965591803,0.0185988527258466,0.0045235984831528,-0.0057456653561844,-0.001192020639093,0.0152089819237256,-0.0,0.0046739786531394,0.0071049068017287,-0.0011998787912393,-0.0043488117823857,0.0005320080626154,-0.0001277810487019,0.0004128153266504,-9.570911266885e-05,0.0089878635118053,0.009861938058840865
2036,2007-10-23,-0.0030211290262844,-0.0034633393005458,0.012519900078064,-0.0114077905323807,-0.0021185587252804,0.0008156639149142,-0.0002125720368724,0.0037174981798787,0.0093900797164495,0.0032591125873043,-0.0032812200958875,0.001976390096634,-0.0027647055563669,-7.322428163445668e-05,0.0041720505108982,-0.0057127192852641,0.0041454591866634,0.0042856415699121,0.0050360101943775,0.0044097903654628,0.0011279693091609,-0.0018243343676007855
2037,2007-10-24,0.0061035823494642,0.0045535022199395,0.0223902611903829,0.0045593689989341,0.0018488347065497,0.0102208917507984,0.0008210477121312,0.0082554434860091,0.0030235848716568,-0.0082499649898901,-0.0036112431133453,-0.0053656464504146,0.0158099781015104,0.0024571894672592,-0.0008577114757075,0.0126508608115474,-0.0016081537039771,-0.0014115555692997,-0.0008250326003663,-0.00117561333733765,0.00274544065235,0.00023159368682120003
2038,2007-10-25,0.0089854523478109,0.0063407587021471,0.0084953782600497,0.0019298409943901,0.0109384439059241,0.0108674383298173,0.0008350421473693,0.0241083012341615,-0.0035035870156468,0.0107032837433216,0.0052679611742261,0.0047195487278819,0.0177646654178882,0.0082237638483226,-0.0015669867036741,0.0071853017869555,-0.0012631199077333,-0.0018174374261379,-0.0010446919042305,-0.00142305898544395,0.005704731375803233,0.008143389642824267
2039,2007-10-26,0.0129631209849532,0.0136981057255419,0.0100792457883267,0.0011402394140164,0.0027683399602718,0.0040397836155046,0.0099252206719394,0.0069392536535658,-0.0070235047377877,0.0133115858448307,0.0031285321543214,0.0054872444406087,0.0067972732725737,0.0044364714158896,0.0008811757524564,0.0049660761912431,-0.0009133680599563,0.0001310586850922,-0.0021146383221288,-0.0005039429861341252,0.007819052017497018,0.003444447843494267
2040,2007-10-29,0.0014427241435674,-0.0001579195822757,-0.0187963980147069,-0.007437209735838,-0.0068543523866687,0.0036323426986056,0.0072866521828443,-0.0064523068030418,-0.0011472626413905,-0.0065989456266943,0.0008640263746943,-0.0,-0.0043587795290225,-0.0064516315575682,-0.000357773650934,-0.0071605351266147,0.0,0.0,-0.0004249740491616,-0.0001956869250239,0.0007429318624427999,-0.0041473191898475335
2041,2007-10-30,0.0063459048259427,0.0107376393788885,0.0240192162962557,0.0017656231343291,0.0120003369502639,0.0053379948448052,0.0124856832309594,0.0104077009333506,-0.0088825232126433,0.0219024448722844,0.013552739857469,0.0063832921580119,0.0049727270732702,0.0087729660298832,-0.005817552099093,0.006665621493874,-0.0058380756592856,-0.0055519598872976,-0.0062566088785036,-0.005866049131044951,0.007987857323372817,0.011442014279205368
2042,2007-10-31,-0.0019769587960704,-0.0061637478224635,-0.005388814155896,-0.0028966158862008,-0.0242926277036873,-0.0076318095337038,-0.0020955698222174,-0.0017510943848539,0.0134679191017042,-0.0045538735834615,-0.014087307360036,0.0050462509739169,-0.0048710733851439,-0.0251211215392004,-0.0070150037383128,-0.0085390871184389,0.0066885256934978,0.0065412378193176,0.0067516047831855,0.003241591139422025,-0.0014923400760354,-0.021167018867641232
2043,2007-11-01,-0.0048482321677797,0.0260373495275363,0.0128443729475321,0.0049510243317415,0.0010170567369453,0.0102727917303468,0.0083075232133379,0.0204851800184002,-0.0037419716157972,-0.0038794732019643,0.0030042122089301,-0.0022019320627287,0.0127647304607785,0.0024286162746448,0.0034450974584537,0.0106243142450425,0.0054778058247644,0.0043417828253848,0.0060240976991627,0.0048221959519414,0.005357997914279967,0.0021499617401734
2044,2007-11-02,-0.0027360494054091,0.00228822039515,-0.0099709129199527,-0.0025302474696613,-0.0070815801138536,-0.0016740354261026,-0.0048583798033335,0.003099771645457,0.006108770667724,-0.0089148496770039,-0.0040884442532322,0.0029743110262429,0.0083891375295954,-0.006294729588807,-0.0016334046612668,-0.0022017701257073,-0.0013298548360374,-0.0014687192757488,-0.0011260018929268,-0.00138949516649495,-0.0016310538748291832,-0.005821584651964268
2045,2007-11-05,0.015478652971801,0.0220573021891901,0.0140190645925368,0.0102262525283388,0.0116864303194778,0.0147188877452683,0.0068627726477243,0.0166288765889267,-0.0060524065453007,0.0035465647277971,0.0080140991802959,-0.0113630042070901,0.0267387661122291,0.008970172496488,-0.0023138045112886,0.0134681334214988,-0.0015139034543562,-0.0022287631044732,-0.0009495846862505,-0.0017515139390921251,0.009435295622746682,0.009556900665420566
2046,2007-11-06,-6.124967065248532e-05,-0.0220126350566865,-0.0016391623627589,-0.0008738080001535,-0.0247646413113923,0.0100870016417634,0.0134506796340114,0.0129624220072228,0.0311328199984701,-0.0266721242399352,-0.0202650007592163,-0.0074195183116158,-0.0021829178800742,-0.0234798966993209,-0.0001665838164207,-0.0018501097554403,0.0035720753658579,0.0023690973954025,0.0046180783768333,0.00259816683041825,0.0009874153844951202,-0.02283651292330983
2047,2007-11-07,-0.0042924846725638,-0.0020267170466941,-0.0045961670339899,-0.0033790385083581,-0.0040050243753187,0.009652899364789,0.0090441879659441,0.0052806532198555,-0.0013228327405425,0.0046987849882988,-0.027932072955038,-0.0,0.0078619252217318,-0.0064332617526442,0.0018628888583984,0.0065970326903836,0.0037326895553116,0.0036431867921926,0.0047517560391305,0.0034976303112582746,0.00262563964320525,-0.012790119694333633
2048,2007-11-08,-0.008441354288406,-0.0051912568995066,0.0044168957676946,-0.0004531117064052,-0.0115470278520917,-0.0010286967355951,-0.014741263085531,-0.0034337014666436,0.0275108852781688,-0.0188308162877045,-0.0216958727605685,0.0090361731587281,0.0012887611628915,-0.0151379937482009,0.0034203387169444,-0.0034482872577167,0.001860260240888,0.0028776303694831,0.0,0.002039557331828875,-0.003453750336429067,-0.0161269647869537
2049,2007-11-09,-0.0162084915009599,-0.0418735234849622,-0.008791356972411,-0.0140111783859478,-0.0083865387670372,-0.0263873941918891,-0.043235229357487,-0.0342543016196356,0.0129005077861509,-0.011250547663194,-0.017197545273424,0.005327275122007,-0.0318615197300339,-0.0040005643667701,-0.001533110028052,-0.0099064902299366,0.0,-0.0021367066515817,0.0,-0.0009174541699084251,-0.02100911306872355,-0.0098615494690771
2050,2007-11-12,0.0041031316733646,0.012097331134741,-0.018047548020913,0.0001844803394674,0.0248694967023125,0.0148615954166265,0.0166433880052712,-0.0093114094977999,-0.0189386095220796,0.0209073778057754,0.0252765186297771,0.0046459599194346,-0.0053758250013332,0.0243397616177423,0.0,-0.0055081729883458,-0.0034800165041474,0.0,-0.0029051607760163,-0.001596294320040925,0.008279035752283184,0.024828592316610634
2051,2007-11-13,0.0211431140036892,-0.0082423341406896,0.0150259279691523,9.377796358961188e-05,-0.0026741551279528,0.0043924270663989,-0.0175861577917866,0.0171539896865272,-0.0015021881010078,-0.0134687651779847,-0.0026375953901373,-0.0031537899814732,0.0169411233282416,-0.0034903009696465,0.0,0.010910209186924,-0.0008623438007897,-0.0010281832072004,-0.0007713271144732,-0.000665463530615825,-0.0025439840235634333,-0.0029340171625788663
2052,2007-11-14,-0.0061816960101302,-0.0202503162300993,-0.0032346244024815,-0.0138209933324904,-0.0103856752765959,-0.0044716435398931,-0.0064504799655079,-0.0281423111710328,0.0092551989011231,-0.0047841436023752,-0.0070553464951712,0.0031886475841908,-0.0201324627947189,-0.0074396943665809,0.005701764925604,-0.0106517967546167,0.0069964802152808,0.0065142220450465,0.0082099602706089,0.00685560686413505,-0.005480513407813767,-0.008293572046116
2053,2007-11-15,0.0001731484450082,0.0121848595461512,0.0083425358517495,-0.0076525479527564,0.0011830557098794,0.0020173466155894,0.006187883281194,-0.0001882052473283,-0.0059322538275878,0.0001831997450777,0.0065316775398197,0.004872005386943,0.0010538226017403,0.0019739983269294,0.000858663057046,0.0062151232034155,0.0006620247487186,0.0006211607149957,0.0009064936649379,0.0007620855464245499,0.002469030634238783,0.0032295771922094996
2054,2007-11-16,-0.0086279815511145,-0.0108942206982717,-0.0022762636068168,-0.0084828120119304,-0.0121349450355208,0.0054861448123021,-0.002363922501877,-0.0085145258802765,0.0143742955484126,-0.0109675684781068,-0.0080621831975714,0.0033070723212282,-0.0119685170191828,-0.0131298038461827,0.0036615511206746,-0.0026127920243267,0.004709365521261,0.0045443467760312,0.0057124713554573,0.004656933693356025,-0.002165542144775883,-0.011108977359758299
2055,2007-11-19,-0.0004648738779548,0.0020461528682032,0.0170862289451786,0.0002980841316255,0.0045745985478681,0.0258158365765832,0.0131518982936753,0.0130561233393366,0.0005925070922375,-0.0053515847194433,0.0022616780919603,0.0042118592843125,0.0119235150655724,0.0044848008049456,0.0001735677429344,0.0049962625077688,0.0006636126848581,0.0011216904341805,0.000179821615565,0.0005346731193845,0.005964989372216851,0.0037736924815913336
2056,2007-11-20,-0.0145222172065619,-0.0053038156287371,-0.0035097872099513,0.0001009401601368,-0.0152749290748038,0.0036245948398894,-0.0020184773012583,0.0068675980476502,0.016511368376222,0.0050631813245702,-0.0091506905630462,-0.0025746254158324,-0.0026363972262841,-0.0164219002933786,0.0014108529475732,0.0010027463204895,0.0023602435045976,0.0018982231948501,0.0043835465795744,0.002513216556648825,0.0005591057340207166,-0.013615839977076197
2057,2007-11-21,0.0074278630257935,0.0020000348575723,0.0042990451866531,-0.0149836883686327,0.0131074828285634,-0.000294002345927,-0.0008726649128706,0.0248759097616986,-0.0016718544602404,-0.0043800129846018,0.0083838827867887,0.0034747200339061,0.0108596122013063,0.0113651881743794,0.0021453612125896,0.0094975794851172,0.0003408197759928,0.0005126523359813,-0.0001818002506333,0.0007042582684826,0.00036822719662099986,0.010952184596577166
2058,2007-11-22,-0.0166936698178594,-0.0039756606160616,0.0,0.0,0.0,-0.0082856803592793,-0.0010571120675389,0.0,0.0044736385519959,0.0015697473979554,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0039947894851313165,0.0
2059,2007-11-23,-0.0206869459891301,-0.0063635295392979,-0.0023711627441358,0.0,-0.0173213176452987,0.0055120624319388,0.0052995395040348,0.0017166667226624,-0.0083807581820674,-0.0046674573206496,-0.0101356421023307,-0.0,0.0034912927557372,-0.0141620492369216,0.0111896978251473,-0.0044160135633088,0.0084391901722486,0.009653052773141,0.0058022431840854,0.008771045988655576,-0.004881181515861901,-0.013873002994850331
2060,2007-11-26,-0.0,-0.0,-0.0164953629814808,-0.002555535208288,0.0090483235489149,-0.0,-0.0,-0.0107087752340593,-0.0,0.0,0.0102968313332332,0.0036602483856544,-0.0118426319302822,0.0121379999966322,-0.0058121439870097,-0.0031163802803531,-0.0045525985987009,-0.0048628650539348,-0.0064027763499301,-0.005407595997393875,0.0,0.010494384959593433
2061,2007-11-27,0.0222513117677259,0.0090851231822991,-0.0189391066672024,0.016951690137944,0.0227248989498136,0.0004747268107483,0.0092973329406176,-0.0118671803792268,-0.0143737859258533,-0.0066352233366936,0.0195251245587897,-0.0223742666365129,-0.005053578711497,0.0226340544972526,-0.0033026479966944,0.005295137521093,-0.0039472175684538,-0.0039011159915737,-0.0041010066445814,-0.003812997050325825,0.003349914239807334,0.021628026001951964
2062,2007-11-28,0.0109971912954129,-0.0102808432982698,0.0019179395777622,-0.0054885534213585,0.0004628924230376,-0.0127476204841204,-0.0133343855759082,-0.0041916622429908,0.002378018041305,-0.0011747125165099,0.0014256849179144,0.0127027577165841,-0.0032728475424435,0.0015052317448321,0.0040380993472523,-0.0053130724788396,0.0037264935742667,0.0041832260577078,0.0045184879775883,0.004116576739203775,-0.0040270587563484,0.0011312696952613668
2063,2007-11-29,-0.00315345679398,-0.0035821119629001,-0.0114480458211756,-0.0123516446135549,0.0057612634009761,-0.0098523938377054,-0.0051571422144223,-0.011640720872577,-0.0242195733478193,-0.0020806913205056,-0.0017349398674044,0.0033909181916913,-0.0099480691791208,0.0052260028454336,-0.0028123190316041,0.0014437414340184,0.0003098260536678,-0.000560253580537,0.000497146134546,-0.0006414001059818251,-0.00800756157955545,0.003084108793001767
2064,2007-11-30,-0.0022904364216765,0.0007042700968311,0.0030335781419505,0.0004201320233929,-0.0038866455028858,-0.0039540749956005,0.0060124698184701,0.0054445113973438,0.0143042026886557,0.0003771413608606,-0.0057456019042574,0.0034549825344477,0.0017714430291073,-0.0043063171448262,0.0038547858112017,0.0021961538506885,0.0051948116687723,0.0047744902656008,0.004211030887552,0.0045087796582817,0.0025255954245900834,-0.004646188183989801
2065,2007-12-03,-0.0179014312417062,-0.0126920025922971,-0.0050480441036981,0.0011734776403146,-0.005884668317281,0.014729672855665,-0.0043029706103717,0.0116548436421093,0.0062493371520089,-0.0047061300893275,-0.0038308291908584,-0.0026403692348041,0.0097182152870015,-0.0052288302055525,0.0,0.0118597596445567,0.0012343765875605,0.0005594563621734,0.0011736714497419,0.0007418760998689501,-0.0031039207543381003,-0.004981442571230634
2066,2007-12-04,0.0132728784104992,0.0006002081733268,-0.0043281375874927,-0.0027044882237938,0.0116272502868471,-0.0255502233927432,-0.0273498487787249,-0.0033342307673727,-0.0115043009910614,-0.0076042586607393,0.0119561385748016,-0.009798090121278,-3.6671967649483777e-05,0.011876010624525,-0.0016436133905946,0.0,0.0004700475165141,0.0003410337678375,0.0005111210623459,-8.035276097427503e-05,-0.009689257539907133,0.011819799828724567
2067,2007-12-05,0.0016579915936764,0.0032557460656881,0.014610919982467,0.0,0.0097827498931968,0.008227525881727,0.0008645586729657,0.003304838429359,-0.0048238121371599,-0.0054733292376346,0.0073727844397871,-0.0026378856980213,0.0063426131578988,0.0096142972309979,-0.0049841900946999,0.001101706566279,-0.0038206954451229,-0.0039266459828642,-0.0043287931907211,-0.004265081178352025,0.00061811347321045,0.008923277187993933
