,date,Average Long Only,Average Using TFT
0,2017-07-05,0.000727753888348675,0.000727753888348675
1,2017-07-06,-0.00231341564965465,-0.00238576931436775
2,2017-07-07,-0.0014583497943226177,-0.0014221781962614323
3,2017-07-10,0.0014090305834834251,0.001228159508385775
4,2017-07-11,0.00049681450449795,0.00031600883443215
5,2017-07-12,0.00242774094304375,0.00213855644333295
6,2017-07-13,-0.00134302769759045,-0.0012346461947003
7,2017-07-14,0.0015812273299641352,0.0015450923296027649
8,2017-07-17,0.000683823419951175,0.0006115586418040751
9,2017-07-18,0.002616154682448025,0.002543900347187925
10,2017-07-19,-2.2677450634486107e-05,-2.2677450634486107e-05
11,2017-07-20,0.00025052821910040733,0.00025052821910040733
12,2017-07-21,0.00198234660690185,0.00198234660690185
13,2017-07-24,-0.00145425259311335,-0.00145425259311335
14,2017-07-25,-0.0045174108558671,-0.0045174108558671
15,2017-07-26,0.0026539805569665747,0.0026539805569665747
16,2017-07-27,-0.0015065080666604312,-0.0015065080666604312
17,2017-07-28,0.001372995126707075,0.001372995126707075
18,2017-07-31,-0.0005156357023465332,-0.0005156357023465332
19,2017-08-01,0.00276930463020075,0.00276930463020075
20,2017-08-02,-0.000231624191641425,-0.000231624191641425
21,2017-08-03,0.002167845923389775,0.002167845923389775
22,2017-08-04,-0.002421974143001475,-0.002421974143001475
23,2017-08-07,0.00072563195683785,0.00072563195683785
24,2017-08-08,-0.001507354740321725,-0.001507354740321725
25,2017-08-09,0.0027673137306769503,0.0027673137306769503
26,2017-08-10,0.0015912685414690752,0.0015912685414690752
27,2017-08-11,0.0013718451740386498,0.0013718451740386498
28,2017-08-14,-0.001465190552273525,-0.001465190552273525
29,2017-08-15,-0.0026189840886694,-0.0026189840886694
30,2017-08-16,0.00227938852910205,0.00227938852910205
31,2017-08-17,0.001644559725496225,0.001644559725496225
32,2017-08-18,0.0002945115054135833,0.0002945115054135833
33,2017-08-21,0.00090668567605865,0.00090668567605865
34,2017-08-22,-0.001890868897263325,-0.001890868897263325
35,2017-08-23,0.00263548797320635,0.00263548797320635
36,2017-08-24,-0.0014987543823236252,-0.0014987543823236252
37,2017-08-25,0.0012355371762637,0.0012355371762637
38,2017-08-28,0.0008310155862540499,0.0008310155862540499
39,2017-08-29,0.00102172350264175,0.00102172350264175
40,2017-08-30,-0.00046527412787134996,-0.00046527412787134996
41,2017-08-31,0.0012675705413955094,0.0012675705413955094
42,2017-09-01,-0.0023761688627135747,-0.0023761688627135747
43,2017-09-05,0.005452824535619426,0.005452824535619426
44,2017-09-06,-0.0021251467885814003,-0.0021251467885814003
45,2017-09-07,0.003032017626952925,0.003032017626952925
46,2017-09-08,-0.00012260975514662674,-0.00012260975514662674
47,2017-09-11,-0.003754356410516875,-0.003754356410516875
48,2017-09-12,-0.0023012040017915004,-0.0023012040017915004
49,2017-09-13,-0.0014036200968828502,-0.0014036200968828502
50,2017-09-14,1.0882218482499896e-06,1.0882218482499896e-06
51,2017-09-15,-0.00034008890977170003,-0.00034008890977170003
52,2017-09-18,-0.0018001623983971747,-0.0018001623983971747
53,2017-09-19,-0.00067204189483245,-0.00067204189483245
54,2017-09-20,-0.0005837621083785249,-0.0005837621083785249
55,2017-09-21,-0.003886728478959596,-0.003886728478959596
56,2017-09-22,0.0007747366672829501,0.0007747366672829501
57,2017-09-25,0.0024429460198109997,0.0024429460198109997
58,2017-09-26,-0.00051509427243485,-0.00051509427243485
59,2017-09-27,-0.004644003729270575,-0.004644003729270575
60,2017-09-28,0.00026817538572524997,0.0007790049729748999
61,2017-09-29,-0.000705936874582475,-0.000808207277527875
62,2017-10-02,-0.001998639787123025,-0.0015896418321128248
63,2017-10-03,0.00018812106404802017,0.00039278745782612013
64,2017-10-04,-0.00012048710701174174,8.426309773840827e-05
65,2017-10-05,-0.001176707026675475,-0.000152536604717275
66,2017-10-06,-0.001084785272708325,4.4114563088024983e-05
67,2017-10-09,0.0004986859050987366,-0.00011847105848901334
68,2017-10-10,0.001232093234969925,-0.00010343172907357502
69,2017-10-11,-0.00014883727191894997,-0.00035375530470579996
70,2017-10-12,0.0013337320813143932,0.0013337320813143932
71,2017-10-13,0.0025066429202764253,0.0025066429202764253
72,2017-10-16,-0.0017135858740245,-0.0017135858740245
73,2017-10-17,0.000590201604854975,0.000590201604854975
74,2017-10-18,-0.002602466191098225,-0.002602466191098225
75,2017-10-19,0.0012724055117765498,0.0012724055117765498
76,2017-10-20,-0.003534934576146225,-0.003534934576146225
77,2017-10-23,0.000718609808100725,0.000718609808100725
78,2017-10-24,-0.00167176920259555,-0.00167176920259555
79,2017-10-25,-0.002207398515652325,-0.002207398515652325
80,2017-10-26,-0.0006555742814867999,7.451786536395e-05
81,2017-10-27,0.0015919811484590499,-0.0001445162627124499
82,2017-10-30,0.0033847925294544496,-0.0007238329957496997
83,2017-10-31,-0.000242984466686975,-0.000369296583630375
84,2017-11-01,0.0001564657570512,-0.0005481949549834999
85,2017-11-02,0.001916672912768925,-0.0005449046922599748
86,2017-11-03,0.00021558050062455003,-0.0002864396378106
87,2017-11-06,0.0015057367538010773,-0.0003609399982623275
88,2017-11-07,0.000883029659463732,-0.0006004374421797386
89,2017-11-08,-0.00113577464258395,8.421358255775006e-05
90,2017-11-09,-0.0007780818446848,-0.0007780818446848
91,2017-11-10,-0.004082809664865725,-0.004082809664865725
92,2017-11-13,-0.000345376075240675,-0.000345376075240675
93,2017-11-14,0.0010522535080374751,0.0010522535080374751
94,2017-11-15,0.002736230765579275,0.002736230765579275
