,Date,ES=F,GC=F,NQ=F,RTY=F,YM=F,AverageEquity
80,2000-12-26,-0.0,-0.0,-0.0,,,
81,2000-12-27,-0.0,0.0,0.0,,,
82,2000-12-28,0.0,-0.0,0.0,,,
83,2000-12-29,0.0,0.0,0.0,,,
84,2001-01-02,-0.0,0.0,-0.0,,,
85,2001-01-03,0.0,0.0,0.0,,,
86,2001-01-04,0.0,-0.0,0.0,,,
87,2001-01-05,-0.0,0.0,-0.0,,,
88,2001-01-08,0.0,0.0,-0.0,,,
89,2001-01-09,-0.0,0.0,-0.0,,,
90,2001-01-10,-0.0,0.0,-0.0,,,
91,2001-01-11,0.0,0.0,-0.0,,,
92,2001-01-12,-0.0,0.0,0.0,,,
93,2001-01-16,-0.0,0.0,-0.0,,,
94,2001-01-17,-0.0,-0.0,-0.0,,,
95,2001-01-18,0.0,-0.0,0.0,,,
96,2001-01-19,-0.0,-0.0,0.0,,,
97,2001-01-22,-0.0,0.0,-0.0,,,
98,2001-01-23,-0.0,0.0,0.0,,,
99,2001-01-24,0.0,-0.0,0.0,,,
100,2001-01-25,0.0,0.0,-0.0,,,
101,2001-01-26,-0.0,0.0,-0.0,,,
102,2001-01-29,-0.0,0.0080098789930209,0.0,,,
103,2001-01-30,0.0,-0.000297384098227,0.0,,,
104,2001-01-31,-0.0,-0.0085039998959826,-0.0,,,
105,2001-02-01,0.0,0.0041373578022909,0.0,,,
106,2001-02-02,-0.0,-0.0056352657692086,0.0,,,
107,2001-02-05,0.0,-0.0056744449277708,-0.0,,,
108,2001-02-06,0.0,-0.0014940692735532,0.0,,,
109,2001-02-07,0.0,0.0081406660355592,0.0,,,
110,2001-02-08,0.0,0.0006045266966649,0.0,,,
111,2001-02-09,-0.0,0.0024031949412752,-0.0,,,
112,2001-02-12,0.0,-0.0012062844025523,0.0,,,
113,2001-02-13,0.0004494166985897,-0.0027261578422179,0.0006711639246277,,,
114,2001-02-14,0.0009439788642383,-0.0132695711120914,0.0002929860078267,,,
115,2001-02-15,0.0020399014966925,0.0094591976324294,-0.0009940042996762,,,
116,2001-02-16,-0.0014599279962695,-0.0064182974719932,-0.0007894029509441,,,
117,2001-02-20,0.002163970568115,0.0063412496709555,-0.0004939320928023,,,
118,2001-02-21,-5.628356030694399e-05,0.0009032209290302,-0.0001588920351942,,,
119,2001-02-22,-0.0007339523072605,0.0071471160678653,4.170964916018702e-05,,,
120,2001-02-23,0.001904046930185,0.0143532812282932,0.0003560164332483,,,
121,2001-02-26,-0.0006891387167168,-0.0046476765648805,-0.0011463505447954,,,
122,2001-02-27,-0.0016615622998165,-0.0017334486603452,-0.0005047354744991,,,
123,2001-02-28,0.0001131928241838,0.0046473217102175,0.0004120345138607,,,
124,2001-03-01,-0.0007203009133227,0.0091243194427823,-0.0007646712688838,,,
125,2001-03-02,0.0007351970503887,0.001174761261191,0.0003192322983532,,,
126,2001-03-05,-0.0009704134202951,-0.0076831394902848,0.0006357178481226,,,
