date,ZB=F Long Only,ZB=F Using TFT
2017-07-05,0.0018374846876276774,0.0018374846876276774
2017-07-06,-0.006928877114326437,-0.006928877114326437
2017-07-07,-0.004104247896572932,-0.004104247896572932
2017-07-10,0.002266639192252118,0.002266639192252118
2017-07-11,0.0004111842105263275,0.0004111842105263275
2017-07-12,0.004726674886970761,0.004726674886970761
2017-07-13,-0.0038862753119247584,-0.0038862753119247584
2017-07-14,0.002874743326488627,0.002874743326488627
2017-07-17,0.0016380016380015405,0.0016380016380015405
2017-07-18,0.006336876533115321,0.006336876533115321
2017-07-19,0.0006093845216330607,0.0006093845216330607
2017-07-20,0.0008120178643931109,0.0008120178643931109
2017-07-21,0.0046653144016226555,0.0046653144016226555
2017-07-24,-0.003432263274782965,-0.003432263274782965
2017-07-25,-0.010534846029173428,-0.010534846029173428
2017-07-26,0.0034807534807534957,0.0034807534807534957
2017-07-27,-0.0036727198530912553,-0.0036727198530912553
2017-07-28,0.0038910505836575737,0.0038910505836575737
2017-07-31,-0.001427988576091388,-0.001427988576091388
2017-08-01,0.006945863125638496,0.006945863125638496
2017-08-02,0.00121728545343891,0.00121728545343891
2017-08-03,0.005065856129685908,0.005065856129685908
2017-08-04,-0.0058467741935483986,-0.0058467741935483986
2017-08-07,0.0014195903467857374,0.0014195903467857374
2017-08-08,-0.003847711624139327,-0.003847711624139327
2017-08-09,0.006505387273836094,0.006505387273836094
2017-08-10,0.004039587962027857,0.004039587962027857
2017-08-11,0.0008046670690002866,0.0008046670690002866
2017-08-14,-0.0020100502512563345,-0.0020100502512563345
2017-08-15,-0.004833836858006091,-0.004833836858006091
2017-08-16,0.004250151791135304,0.004250151791135304
2017-08-17,0.00403063280935112,0.00403063280935112
2017-08-18,0.0010036130068244997,0.0010036130068244997
2017-08-21,0.0020052135552435235,0.0020052135552435235
2017-08-22,-0.003602161296778039,-0.003602161296778039
2017-08-23,0.005824462743522885,0.005824462743522885
2017-08-24,-0.0025958466453673834,-0.0025958466453673834
2017-08-25,0.002802802802802873,0.002802802802802873
2017-08-28,0.0013974845278499348,0.0013974845278499348
2017-08-29,0.0011961722488038617,0.0011961722488038617
2017-08-30,-0.00019912385503784158,-0.00019912385503784158
