,date,Average Long Only,Average Using TFT
0,2017-07-05,0.003907152612215,0.003907152612215
1,2017-07-06,-0.0081158981610763,-0.0081158981610763
2,2017-07-07,0.006861300714799567,0.006861300714799567
3,2017-07-10,0.0023579606270502334,0.0023579606270502334
4,2017-07-11,0.0016469198053169667,0.0016469198053169667
5,2017-07-12,0.0077722528156472,0.0077722528156472
6,2017-07-13,0.0018317364322802,0.0018317364322802
7,2017-07-14,0.005394419747870433,0.005394419747870433
8,2017-07-17,0.0007934947774146332,0.0007934947774146332
9,2017-07-18,0.0005359714639578666,0.0005359714639578666
10,2017-07-19,0.0050535796789400326,0.0050535796789400326
11,2017-07-20,0.0001290186191511667,0.0001290186191511667
12,2017-07-21,-0.0015747927634713003,-0.0015747927634713003
13,2017-07-24,0.00042954519636679997,0.00042954519636679997
14,2017-07-25,0.0016744283009768374,0.0016744283009768374
15,2017-07-26,0.0020290774109987335,0.0020290774109987335
16,2017-07-27,-0.0008323247895138001,-0.0008323247895138001
17,2017-07-28,0.00029690783953026666,0.00029690783953026666
18,2017-07-31,-0.0008430495883851998,-0.0008430495883851998
19,2017-08-01,0.0019026937831046334,0.0019026937831046334
20,2017-08-02,0.002191993735649767,0.002191993735649767
21,2017-08-03,-0.0011479372466247,-0.0011479372466247
22,2017-08-04,0.0011387451051293666,0.0011387451051293666
23,2017-08-07,0.0034575194229995664,0.0034575194229995664
24,2017-08-08,-0.0020213464512997335,-0.0020213464512997335
25,2017-08-09,0.00010559409318909997,0.00010559409318909997
26,2017-08-10,-0.0150118398257338,-0.0150118398257338
27,2017-08-11,0.0033173550491561667,0.0033173550491561667
28,2017-08-14,0.008893650080644468,0.008893650080644468
29,2017-08-15,0.0005262465012636666,0.0005262465012636666
30,2017-08-16,0.0016714460550539335,0.0016714460550539335
31,2017-08-17,-0.016279068864549367,-0.016279068864549367
32,2017-08-18,-0.0011480714906590666,-0.0011480714906590666
33,2017-08-21,-4.499326804973335e-05,-4.499326804973335e-05
34,2017-08-22,0.011240338898272334,0.011240338898272334
35,2017-08-23,-0.0046443319925322,-0.0046443319925322
36,2017-08-24,-0.0006675388971580333,-0.0006675388971580333
37,2017-08-25,-0.00029372192869343334,-0.00029372192869343334
38,2017-08-28,0.0010256604443196666,0.0010256604443196666
39,2017-08-29,0.003138726041453,0.003138726041453
40,2017-08-30,0.0048516582308262,0.0048516582308262
41,2017-08-31,0.006269408603404633,0.006269408603404633
42,2017-09-01,0.0008900267834922666,0.0008900267834922666
43,2017-09-05,-0.007956722796261933,-0.007956722796261933
44,2017-09-06,0.0023983209513522333,0.0023983209513522333
45,2017-09-07,0.0008525727815323667,0.0008525727815323667
46,2017-09-08,-0.003419392042262833,-0.003419392042262833
47,2017-09-11,0.0107997399417345,0.0107997399417345
48,2017-09-12,0.0029922536142263996,0.0029922536142263996
49,2017-09-13,0.0007491722632795333,0.0007491722632795333
50,2017-09-14,-0.0009771268722978334,-0.0009771268722978334
51,2017-09-15,0.0013737689698222,0.0013737689698222
52,2017-09-18,0.0018499525280373666,0.0018499525280373666
53,2017-09-19,0.0013901674836526,0.0013901674836526
54,2017-09-20,-0.0003648080350098334,-0.0003648080350098334
55,2017-09-21,-0.0030599116742203,-0.0030599116742203
56,2017-09-22,-0.0012400283931816667,-0.0012400283931816667
57,2017-09-25,-0.0040045086087568665,-0.0040045086087568665
58,2017-09-26,0.0004529450203940001,0.0004529450203940001
59,2017-09-27,0.004529797941953066,0.004529797941953066
60,2017-09-28,0.0006211650662584,0.0006211650662584
61,2017-09-29,0.003954651534760166,0.003954651534760166
62,2017-10-02,0.0036481624496275,0.0036481624496275
63,2017-10-03,0.003328884397516267,0.003328884397516267
64,2017-10-04,0.0007793328205437587,0.0007793328205437587
65,2017-10-05,0.0071964445055018,0.0071964445055018
66,2017-10-06,-0.0014103138735378333,-0.0014103138735378333
67,2017-10-09,9.972091843875966e-05,9.972091843875966e-05
68,2017-10-10,0.0017350979496099002,0.0017350979496099002
69,2017-10-11,0.0020047698894819334,0.0020047698894819334
70,2017-10-12,-0.0011446677843633334,-0.0011446677843633334
71,2017-10-13,0.002264595783215267,0.002264595783215267
72,2017-10-16,0.0025701336340347336,0.0025701336340347336
73,2017-10-17,0.0010599610756603331,0.0010599610756603331
74,2017-10-18,0.0025134977038589,0.0025134977038589
75,2017-10-19,-0.0011060633239027,-0.0011060633239027
76,2017-10-20,0.0048324478289827,0.0048324478289827
77,2017-10-23,-0.0045842185910985,-0.0045842185910985
78,2017-10-24,0.0038096471685090338,0.0038096471685090338
79,2017-10-25,-0.003411346682095633,-0.003411346682095633
80,2017-10-26,0.0021905546994521333,0.0021905546994521333
81,2017-10-27,0.009689616484674667,0.009689616484674667
82,2017-10-30,-0.0019976045463129667,-0.0019976045463129667
83,2017-10-31,0.0024362787831589,0.0024362787831589
84,2017-11-01,0.00045077534948790004,0.00045077534948790004
85,2017-11-02,0.0010187326550868002,0.0010187326550868002
86,2017-11-03,0.003773935743022434,0.003773935743022434
87,2017-11-06,0.002533316845455866,0.002533316845455866
88,2017-11-07,-0.00011134000546400332,-0.00011134000546400332
89,2017-11-08,0.001936026174194033,0.001936026174194033
90,2017-11-09,-0.0033840131458744336,-0.0033840131458744336
91,2017-11-10,-0.0013416348165743001,-0.0013416348165743001
92,2017-11-13,0.0008104928776393666,0.0008104928776393666
93,2017-11-14,-0.0019348528739522002,-0.0019348528739522002
94,2017-11-15,-0.004735585826643733,-0.004735585826643733
95,2017-11-16,0.008896801043952301,0.008896801043952301
