date,JPY=X Long Only,JPY=X Using TFT
2017-06-27,0.005564624859348166,0.005564624859348166
2017-06-28,0.0029501852886058,0.0029501852886058
2017-06-29,0.0014795943557117663,0.0014795943557117663
2017-06-30,-0.0030705947517744026,-0.0030705947517744026
2017-07-03,0.0022587322981622027,0.0022587322981622027
2017-07-04,0.010012297473122489,0.010012297473122489
2017-07-05,-0.0037394704385020905,-0.0037394704385020905
2017-07-06,0.0019918067857589428,0.0019918067857589428
2017-07-07,-0.00033567800148370797,-0.00033567800148370797
2017-07-10,0.00738847466459025,0.00738847466459025
2017-07-12,-0.0020792166552590086,-0.0020792166552590086
2017-07-13,-0.0036308507417377456,-0.0036308507417377456
2017-07-14,0.0007323437929673826,0.0007323437929673826
2017-07-17,-0.009002064049298264,-0.009002064049298264
2017-07-18,0.0016370374895635642,0.0016370374895635642
2017-07-19,-0.005205128116508417,-0.005205128116508417
2017-07-20,-0.0010536527730782286,-0.0010536527730782286
2017-07-21,7.153601671361365e-05,7.153601671361365e-05
2017-07-24,-0.008401505326529057,-0.008401505326529057
2017-07-25,0.002586890479661319,0.002586890479661319
2017-07-26,0.006931423314304963,0.006931423314304963
2017-07-27,-0.007812290857157955,-0.007812290857157955
2017-07-28,-0.00027894167482678256,-0.00027894167482678256
2017-07-31,-0.005283652890670898,-0.005283652890670898
2017-08-01,-0.0013664009921595666,-0.0013664009921595666
2017-08-02,0.0006614598366052604,0.0006614598366052604
2017-08-03,0.0029430290130749714,0.0029430290130749714
2017-08-04,-0.007737680047491424,-0.007737680047491424
2017-08-07,0.00806188875898628,0.00806188875898628
2017-08-08,-0.0003249788942770726,-0.0003249788942770726
2017-08-09,-0.00585103949897714,0.00585103949897714
2017-08-10,-0.00048131528652772815,0.00048131528652772815
2017-08-11,-0.008568917142361299,0.008568917142361299
2017-08-14,0.0011365144549841943,-0.0011365144549841943
2017-08-15,0.006426767628262775,-0.006426767628262775
2017-08-16,0.006040110883421823,-0.006040110883421823
2017-08-17,-0.00539802631601638,0.00539802631601638
2017-08-18,-0.0061000337846530694,0.0061000337846530694
2017-08-21,-7.320388783127463e-05,7.320388783127463e-05
2017-08-22,-0.0034394388193672576,0.0034394388193672576
