date,GC=F Long Only,GC=F Using TFT
2017-07-05,0.0020527136463461826,0.0020527136463461826
2017-07-06,0.0014748662092798348,0.0014748662092798348
2017-07-07,-0.0111274555140487,-0.0111274555140487
2017-07-10,0.00289591268467726,0.00289591268467726
2017-07-11,0.0012375216815549983,0.0012375216815549983
2017-07-12,0.0037079763435454716,0.0037079763435454716
2017-07-13,-0.0014776510909514373,-0.0014776510909514373
2017-07-14,0.008468244959569216,0.008468244959569216
2017-07-17,0.005054682345991157,0.005054682345991157
2017-07-18,0.006732581464206078,0.006732581464206078
2017-07-19,8.055401490958403e-05,8.055401490958403e-05
2017-07-20,0.002900497742407193,0.002900497742407193
2017-07-21,0.00763174777261888,0.00763174777261888
2017-07-24,-0.00031892242564790507,-0.00031892242564790507
2017-07-25,-0.0017545842566001335,-0.0017545842566001335
2017-07-26,-0.0021570274644072684,-0.0021570274644072684
2017-07-27,0.008486769884657797,0.008486769884657797
2017-07-28,0.0069863837715871124,0.0069863837715871124
2017-07-31,-0.0014191491591594163,-0.0014191491591594163
2017-08-01,0.004737091517173164,0.004737091517173164
2017-08-02,-0.0006285767508711348,-0.0006285767508711348
2017-08-03,-0.003145148487520233,-0.003145148487520233
2017-08-04,-0.00749329518387476,-0.00749329518387476
2017-08-07,-7.954991048697568e-05,-7.954991048697568e-05
2017-08-08,-0.0014305570081576402,-0.0014305570081576402
2017-08-09,0.013212333065401705,0.013212333065401705
2017-08-10,0.008405303355754068,0.008405303355754068
2017-08-11,0.003115992951739477,0.003115992951739477
2017-08-14,-0.002718024487626036,-0.002718024487626036
2017-08-15,-0.008176296837901553,-0.008176296837901553
2017-08-16,0.0025124231489868087,0.0025124231489868087
2017-08-17,0.007439893349801885,0.007439893349801885
2017-08-18,-0.0005442111543074724,-0.0005442111543074724
2017-08-21,0.003966786847585668,0.003966786847585668
2017-08-22,-0.004415922704188335,-0.004415922704188335
2017-08-23,0.002957006381073546,0.002957006381073546
2017-08-24,-0.001862071819847766,-0.001862071819847766
2017-08-25,0.004663816556548683,0.004663816556548683
2017-08-28,0.013307505742263137,0.013307505742263137
2017-08-29,0.002596033092175265,0.002596033092175265
2017-08-30,-0.003807783179471058,-0.003807783179471058
2017-08-31,0.006192168593466496,0.006192168593466496
2017-09-01,0.006306069849596252,0.006306069849596252
2017-09-05,0.011098490880992795,0.011098490880992795
2017-09-06,-0.003957532072170977,-0.003957532072170977
2017-09-07,0.008396394757391734,0.008396394757391734
2017-09-08,0.0006691133970695429,0.0006691133970695429
2017-09-11,-0.011144130757800852,-0.011144130757800852
2017-09-12,-0.002253944402704766,-0.002253944402704766
