Date,ES=F,GC=F,NQ=F,RTY=F,YM=F
2000-08-31,,,,,
2000-09-01,,-0.0,,,
2000-09-05,,-0.0,,,
2000-09-06,,-0.0,,,
2000-09-07,,-0.0,,,
2000-09-08,,-0.0,,,
2000-09-11,,-0.0,,,
2000-09-12,,-0.0,,,
2000-09-13,,-0.0,,,
2000-09-14,,-0.0,,,
2000-09-15,,-0.0,,,
2000-09-18,,0.0,,,
2000-09-19,,-0.0,,,
2000-09-20,0.0,0.0,-0.0,,
2000-09-21,-0.0,0.0,0.0,,
2000-09-22,-0.0,0.0,-0.0,,
2000-09-25,-0.0,-0.0,-0.0,,
2000-09-26,0.0,0.0,0.0,,
2000-09-27,0.0,-0.0,0.0,,
2000-09-28,-0.0,-0.0,-0.0,,
2000-09-29,0.0,-0.0,-0.0,,
2000-10-02,-0.0,-0.0,-0.0,,
2000-10-03,0.0,-0.0,0.0,,
2000-10-04,0.0,0.0,0.0,,
2000-10-05,-0.0,-0.0,-0.0,,
2000-10-06,-0.0,0.0,-0.0,,
2000-10-09,-0.0,0.0,-0.0,,
2000-10-10,-0.0,-0.0,-0.0,,
2000-10-11,-0.0,0.0,-0.0,,
2000-10-12,0.0,-0.0,0.0,,
2000-10-13,0.0,-0.0,0.0,,
2000-10-16,-0.0,-0.0,-0.0,,
2000-10-17,-0.0,-0.0,-0.0,,
2000-10-18,0.0,-0.0,0.0,,
2000-10-19,0.0,0.0,0.0,,
2000-10-20,0.0,-0.0,-0.0,,
2000-10-23,-0.0,0.0,-0.0,,
2000-10-24,-0.0,-0.0,-0.0,,
2000-10-25,-0.0,-0.0,0.0,,
2000-10-26,0.0,-0.0,-0.0,,
2000-10-27,0.0,-0.0,-0.0,,
2000-10-30,0.0,0.0,0.0,,
2000-10-31,-0.0,-0.0,-0.0,,
2000-11-01,0.0,0.0,0.0,,
2000-11-02,0.0,0.0,0.0,,
2000-11-03,0.0,-0.0,-0.0,,
2000-11-06,-0.0,-0.0,-0.0,,
2000-11-07,-0.0,0.0,-0.0,,
2000-11-08,-0.0,0.0,-0.0,,
2000-11-09,-0.0,-0.0,-0.0,,
2000-11-10,-0.0,-0.0,-0.0,,
2000-11-13,0.0,0.0,0.0,,
2000-11-14,0.0,0.0,0.0,,
2000-11-15,-0.0,0.0,-0.0,,
2000-11-16,-0.0,-0.0,0.0,,
2000-11-17,-0.0,0.0,-0.0,,
2000-11-20,0.0,-0.0,-0.0,,
2000-11-21,-0.0,0.0,-0.0,,
2000-11-22,0.0,0.0,0.0,,
2000-11-24,0.0,,-0.0,,
2000-11-27,-0.0,-0.0,-0.0,,
2000-11-28,-0.0,-0.0,-0.0,,
2000-11-29,-0.0,0.0,0.0,,
2000-11-30,-0.0,-0.0,0.0,,
2000-12-01,0.0,0.0,-0.0,,
2000-12-04,0.0,-0.0,0.0,,
2000-12-05,-0.0,0.0,-0.0,,
2000-12-06,-0.0,-0.0,-0.0,,
2000-12-07,0.0,-0.0,0.0,,
2000-12-08,0.0,-0.0,0.0,,
2000-12-11,-0.0,0.0,-0.0,,
2000-12-12,-0.0,-0.0,-0.0,,
2000-12-13,-0.0,0.0,-0.0,,
2000-12-14,-0.0,0.0,-0.0,,
2000-12-15,0.0,-0.0,0.0,,
2000-12-18,-0.0,0.0,-0.0,,
2000-12-19,-0.0,0.0,-0.0,,
2000-12-20,0.0,0.0,0.0,,
2000-12-21,0.0,0.0,0.0,,
2000-12-22,0.0,0.0,0.0,,
2000-12-26,0.0,0.0,0.0,,
2000-12-27,0.0,-0.0,-0.0,,
2000-12-28,-0.0,0.0,-0.0,,
2000-12-29,-0.0,-0.0,-0.0,,
2001-01-02,0.0,-0.0,0.0,,
2001-01-03,-0.0,-0.0,-0.0,,
2001-01-04,-0.0,0.0,-0.0,,
2001-01-05,0.0,0.0,0.0,,
2001-01-08,-0.0,-0.0,0.0,,
2001-01-09,0.0,-0.0,0.0,,
2001-01-10,0.0,-0.0,0.0,,
2001-01-11,-0.0,-0.0,0.0,,
2001-01-12,0.0,-0.0,-0.0,,
2001-01-16,0.0,-0.0,0.0,,
2001-01-17,0.0,0.0,0.0,,
2001-01-18,-0.0,0.0,-0.0,,
2001-01-19,0.0,0.0,-0.0,,
2001-01-22,0.0,-0.0,0.0,,
2001-01-23,0.0,-0.0,-0.0,,
2001-01-24,-0.0,0.0,-0.0,,
2001-01-25,-0.0,-0.0,0.0,,
2001-01-26,0.0,0.0,0.0,,
2001-01-29,0.0,-2.126622872647044,-0.0,,
2001-01-30,-0.0,0.0789852183041915,-0.0,,
2001-01-31,0.0,2.283323972071332,0.0,,
2001-02-01,-0.0,-1.1050882942443556,-0.0,,
2001-02-02,0.0,1.494472550784005,-0.0,,
2001-02-05,-0.0,1.4940812802139485,0.0,,
2001-02-06,-0.0,0.3926413868516452,-0.0,,
2001-02-07,-0.0,-2.117387285535669,-0.0,,
2001-02-08,-0.0,-0.1571164847734815,-0.0,,
2001-02-09,0.0,-0.6265129505263322,0.0,,
2001-02-12,-0.0,0.3139958152592271,-0.0,,
2001-02-13,-0.5931176879638368,0.7071653276321883,-1.5544156494378538,,
2001-02-14,-1.2583238260297018,3.385067671685529,-0.6902750344397773,,
2001-02-15,-2.6620714531837675,-2.4423649441619824,2.2141445775288364,,
2001-02-16,1.8763724572054488,1.6437260217516343,1.681428285510958,,
2001-02-20,-2.7190290188365465,-1.6373107424485611,1.022686398147304,,
2001-02-21,0.0707625061959025,-0.2334826101543048,0.3259670102009571,,
2001-02-22,0.9156055033075924,-1.864682538483547,-0.085775893497925,,
2001-02-23,-2.4243277538580625,-3.8151019752693935,-0.7476345098214772,,
2001-02-26,0.8710713379300596,1.2427886850818846,2.257164222702247,,
2001-02-27,2.063660376372152,0.4624840814198363,0.9655589627167854,,
2001-02-28,-0.1407552768726803,-1.2324697742797026,-0.8075876471670027,,
2001-03-01,0.8888513270402124,-2.3914841816436945,1.4349056360604753,,
2001-03-02,-0.9144013314209748,-0.3083748310626655,-0.6103721544513787,,
2001-03-05,1.21956706595596,1.9968479066308804,-1.2622177874476166,,
2001-03-06,0.8445135899371895,-1.1542213953023328,-0.0515743932611706,,
2001-03-07,0.023444552826876,3.069486916382853,0.7301086519490597,,
2001-03-08,3.166371392669454,-4.142083996341283,2.325226437554279,,
2001-03-09,-5.056302547393144,0.6101903335735087,2.0683904876419223,,
2001-03-12,-1.7299739341414766,3.629976268230798,-1.580007162403377,,
2001-03-13,-2.7284322803137413,3.2553640666413592,0.522284770330145,,
2001-03-14,-0.3923129934444703,1.879064132562052,1.0856638149227646,,
2001-03-15,0.1378111414916342,-1.4193821819475927,0.4288460855975923,,
2001-03-16,0.9893028779620352,-1.266944592082157,-1.584038173339804,,
2001-03-19,-2.5829042518181446,-0.5211023246620339,2.048513810074752,,
2001-03-20,-1.821911746672932,-1.0414224506399057,0.017114801718721,,
2001-03-21,-1.2629282429263775,0.595876517523809,-1.433527669396489,,
2001-03-22,3.138821145756866,-0.2979032401613796,0.2395680948940091,,
2001-03-23,1.2134215152628698,-0.2982343520602326,0.6067472484298769,,
2001-03-26,2.116788397473073,0.6723289707574204,-0.9419993006294278,,
2001-03-27,-2.7525409466032262,0.9730133674905956,2.460410932955649,,
2001-03-28,0.1814302205834817,-0.6742536958639631,0.5144521495970018,,
2001-03-29,-1.1285323171473969,-0.674279198873889,-0.1366389730648737,,
2001-03-30,2.194291667089541,-1.7247034621744994,1.2142972580554272,,
2001-04-02,3.731214580955664,-0.9006406316436578,1.9200636014378236,,
